PCODE3,in1SD_Instability_DA16,in1SD_Deprivation_DA16,in1SD_Dependency_DA16,in1SD_Ethniccon_DA16,in1SD_Instability_q_DA16,in1SD_Deprivation_q_DA16,in1SD_Dependency_q_DA16,in1SD_Ethniccon_q_DA16
L2E,0.920634921,0.952380952,0.984126984,0.968253968,0.984126984,1,1,1
L6P,0.975,0.975,0.95,0.9,0.95,0.975,0.9,0.925
L2G,0.981818182,0.945454545,0.945454545,0.963636364,1,0.981818182,0.963636364,0.963636364
L5A,1,0.93220339,0.949152542,0.966101695,1,0.966101695,1,0.93220339
L2H,0.970588235,0.882352941,0.970588235,0.911764706,0.941176471,0.911764706,1,0.911764706
L2M,0.967741935,0.967741935,0.951612903,0.935483871,1,1,0.967741935,0.983870968
L2R,0.942028986,0.956521739,0.942028986,0.971014493,0.913043478,1,1,0.985507246
L7E,0.925925926,0.962962963,0.981481481,0.962962963,0.944444444,0.981481481,0.981481481,0.962962963
L4M,0.930693069,0.940594059,0.930693069,0.95049505,1,1,0.871287129,1
L5N,0.948717949,0.948717949,0.914529915,0.94017094,0.948717949,0.982905983,0.923076923,0.905982906
L6A,0.941176471,0.941176471,0.941176471,0.882352941,0.921568627,1,0.941176471,0.980392157
L6Z,0.963636364,0.981818182,0.945454545,1,0.963636364,1,0.909090909,1
L3V,0.954545455,0.954545455,0.931818182,0.954545455,0.977272727,1,0.965909091,0.943181818
L3Y,0.941860465,0.930232558,0.930232558,0.941860465,1,0.860465116,1,0.953488372
L3Z,0.914285714,0.914285714,0.914285714,0.857142857,0.914285714,0.914285714,0.942857143,0.914285714
L4C,0.96875,0.953125,0.9453125,0.953125,1,1,1,0.9453125
L4G,0.952380952,0.952380952,0.936507937,0.888888889,1,0.952380952,0.904761905,0.873015873
L4H,0.962264151,0.924528302,0.943396226,0.962264151,0.962264151,1,0.943396226,0.962264151
L4P,0.975609756,0.951219512,0.975609756,0.975609756,0.975609756,1,0.975609756,1
L6R,0.949367089,0.949367089,0.949367089,0.962025316,0.974683544,0.911392405,0.949367089,1
L4R,0.953488372,0.930232558,0.930232558,0.976744186,0.976744186,0.953488372,0.930232558,1
L5L,0.942857143,0.942857143,0.957142857,0.957142857,1,1,0.928571429,0.971428571
L6M,0.943661972,0.943661972,0.957746479,0.943661972,0.929577465,0.943661972,0.943661972,0.957746479
L4X,1,1,0.958333333,0.958333333,0.916666667,0.875,1,0.833333333
L4Y,0.951219512,1,0.975609756,0.951219512,1,1,1,0.975609756
