SD_Instability_DA16,SD_Deprivation_DA16,SD_Dependency_DA16,SD_Ethniccon_DA16,SD_Instability_q_DA16,SD_Deprivation_q_DA16,SD_Dependency_q_DA16,SD_Ethniccon_q_DA16,PCODE3
K0B,0.15393997398432938,0.07494087514063871,0.336119567544209,0.0952467134977623,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.0
K0C,0,0,0,0,0,0,0,0
