PCODE3,Instability_q_DA16,Deprivation_q_DA16,Dependency_q_DA16,Ethniccon_q_DA16,2016_weightedAverage_q_within_1SD.in1SD_Instability_q_DA16,2016_weightedAverage_q_within_1SD.in1SD_Deprivation_q_DA16,2016_weightedAverage_q_within_1SD.in1SD_Dependency_q_DA16,2016_weightedAverage_q_within_1SD.in1SD_Ethniccon_q_DA16
K0M,2.84131889,3.182264253,4.486519067,1.194471799,0.542168675,0.638554217,0.795180723,0.807228916
K2K,2.102668891,1.462274117,2.227773144,3.685515708,0.80952381,0.857142857,0.666666667,0.714285714
K2L,2.646581085,2.128215876,2.654859838,3.073722819,0.757575758,0.848484848,0.545454545,0.696969697
K2M,2.166072202,1.312577086,1.700723357,3.607053568,0.375,0.875,0.78125,0.84375
K2P,4.803452693,1.816629049,2.162996401,2.954492771,0.916666667,0.875,0.75,0.416666667
K2R,2.452380952,1,3.031746032,3,1,1,1,1
K2S,1.871222939,1.174044668,1.790598046,3.137802022,0.810810811,0.756756757,0.810810811,0.594594595
K2T,2.432347104,1.074688797,1.925040592,4.34205304,0.666666667,0.888888889,0.777777778,0.666666667
K2V,3.266939252,1,1.192256342,4.027536716,0.6,1,0.8,0.6
K2W,1.40985267,1.156353591,1.454972376,3.925322284,0.615384615,0.769230769,0.769230769,0.846153846
K4A,2.062078603,1.547213974,1.518078603,3.746934498,0.901408451,0.873239437,0.774647887,0.788732394
K4B,2.469182843,1.310849081,1.55707739,3.511662633,0.555555556,0.555555556,0.722222222,0.388888889
K4C,1.881849315,1.297260274,2.89640411,2.102054795,0.714285714,0.857142857,0.571428571,0.714285714
K4K,2.731132907,2.218828919,2.485405532,2.136665296,0.666666667,0.80952381,0.523809524,0.571428571
K4M,2.132901358,1.295857172,2.939132832,2.540842352,0.6,0.75,0.5,0.45
K4P,1.374363173,1.202965793,2.129457787,2.588245997,0.846153846,0.769230769,0.769230769,0.769230769
K4R,1.846006445,2.021078303,1.943733124,2.200156781,0.736842105,0.315789474,0.894736842,0.578947368
K6A,3.680207812,3.840448172,4.485728593,1.501314472,0.5,0.884615385,0.884615385,0.923076923
K6H,3.697627396,3.84443705,4.132195234,2.148882803,0.443037975,0.810126582,0.772151899,0.620253165
K6J,3.896240447,4.110068216,4.249422988,2.163973945,0.820512821,0.871794872,0.820512821,0.58974359
K6K,2.701130079,3.299110363,4.315941332,1.588843472,0.75,0.75,0.625,0.875
K6T,2.028813559,2.982033898,3.902033898,1.534576271,0.666666667,0.666666667,0.333333333,1
K6V,3.385080415,3.343618113,4.304636706,1.76140641,0.420289855,0.434782609,0.782608696,0.362318841
K7A,2.932005523,3.19699569,3.761119712,1.439767354,0.731707317,0.609756098,0.512195122,0.926829268
K7C,2.689705944,2.206470069,2.983341046,1.712296496,0.588235294,0.558823529,0.794117647,0.882352941
K7G,3.120344677,2.634000292,4.229443552,1.275741201,0.68,0.68,0.76,0.72
K7H,3.007593999,2.606362289,4.159335062,1.187442119,0.714285714,0.514285714,0.742857143,0.8
K7K,4.094111605,3.38164295,2.834073537,3.070364664,0.830188679,0.358490566,0.622641509,0.641509434
K7L,3.124042051,1.948221655,2.92346237,2.828158774,0.474576271,0.813559322,0.661016949,0.745762712
K7M,3.680927237,2.955638226,3.71924877,2.62374495,0.45,0.7375,0.8,0.6875
K7N,2.990501069,2.762289242,2.874020423,2.478508668,0.923076923,0.615384615,0.615384615,0.846153846
K7P,2.650103685,1.912625618,2.677380762,2.837573776,0.586206897,0.896551724,0.482758621,0.724137931
K7R,2.937809373,3.061242759,4.05745129,1.517008952,0.833333333,0.666666667,0.722222222,0.888888889
K7S,3.105660377,2.648427673,4.018010292,1.623899371,0.72,0.52,0.88,0.88
K7V,3.262626823,3.427953651,4.390419693,1.21516882,0.517241379,0.413793103,0.793103448,0.793103448
K8A,3.210449652,3.160766308,3.567479417,1.406459785,0.72,0.64,0.58,0.68
K8B,2.379228487,2.067655786,4.378041543,1.310385757,0.666666667,0.666666667,0.666666667,0.666666667
K8H,3.146827513,1.626899493,1.375166622,2.313649693,0.647058824,0.705882353,0.882352941,0.764705882
K8N,3.157779364,2.94089009,3.755454731,2.066144984,0.661290323,0.580645161,0.483870968,0.483870968
K8P,4.273893805,4.198141593,3.893141593,2.561681416,0.815789474,0.815789474,0.815789474,0.763157895
K8R,2.31212485,1.6242497,4.62484994,1.68787515,0.666666667,0.666666667,0.666666667,0.666666667
K8V,3.128693268,3.413889735,3.524398416,2.038379531,0.666666667,0.456140351,0.561403509,0.456140351
K9A,3.301559382,2.614146061,4.168622941,1.68484254,0.481481481,0.537037037,0.722222222,0.407407407
K9H,4.140041593,3.913805791,3.912078068,2.465429531,0.408163265,0.897959184,0.795918367,0.755102041
K9J,3.50249598,3.330072367,3.715374564,2.313974136,0.443298969,0.536082474,0.494845361,0.618556701
K9K,2.768288557,1.895377952,3.777086012,2.846382892,0.388888889,0.722222222,0.611111111,0.722222222
K9L,2.829671437,2.943055836,3.515823423,2.54273332,0.615384615,0.846153846,0.538461538,0.615384615
K9V,3.258239027,3.349562827,4.354972658,1.86314589,0.538461538,0.461538462,0.807692308,0.423076923
L0A,2.085999747,2.257282577,3.225749336,1.821044644,0.65,0.65,0.775,0.625
L0B,2.156683975,2.220595339,3.073904118,1.886094675,0.694915254,0.745762712,0.627118644,0.457627119
L0C,2.090076787,2.13920063,2.897420752,1.80616263,0.5,0.676470588,0.676470588,0.382352941
L0E,2.83479021,2.923951049,2.905918156,1.963804714,0.698113208,0.603773585,0.811320755,0.452830189
L0G,2.076659395,2.022402271,2.632838198,2.397614349,0.614583333,0.479166667,0.5625,0.770833333
L0H,1.293464919,2.501743016,1.917562724,4.559336181,0.692307692,0.846153846,0.769230769,0.384615385
L0J,1.524169252,2.114483565,1.463644948,3.804982238,0.909090909,0.272727273,0.636363636,0.545454545
L0K,2.776666898,3.051999584,3.800700028,1.26758733,0.792079208,0.811881188,0.544554455,0.732673267
L0L,2.29298653,2.188666976,2.860226041,2.046431336,0.676470588,0.549019608,0.745098039,0.382352941
L0M,2.463597409,2.420728247,2.618012483,1.918233579,0.626506024,0.578313253,0.626506024,0.409638554
L0N,2.201556114,2.175752204,2.528093761,2.046190969,0.558823529,0.588235294,0.794117647,0.5
L0P,1.779728988,1.51243193,2.610663177,2.38781713,0.512820513,0.820512821,0.717948718,0.615384615
L0R,1.929641077,1.876444725,2.470006312,2.421783514,0.754237288,0.661016949,0.618644068,0.644067797
L0S,2.564030147,2.187877826,3.878175327,1.802887743,0.627659574,0.553191489,0.595744681,0.35106383
L1A,3.05681298,2.715477341,3.914399064,1.488327145,0.756756757,0.594594595,0.864864865,0.945945946
L1B,2.464053203,2.090374519,3.278893945,2.333846692,0.545454545,0.636363636,0.636363636,0.636363636
L1C,2.354152056,2.447258184,2.082586197,2.72136399,0.527027027,0.567567568,0.756756757,0.702702703
L1E,1.969423403,1.967209713,1.992528795,2.941475563,0.368421053,0.447368421,0.789473684,0.473684211
L1G,3.879043164,3.812867182,3.476622254,2.616290155,0.626666667,0.56,0.373333333,0.573333333
L1H,3.267425371,3.461092463,2.815864582,3.042057836,0.606741573,0.404494382,0.685393258,0.786516854
L1J,3.736818397,4.13678236,2.991148449,2.830649339,0.583333333,0.726190476,0.702380952,0.630952381
L1K,1.856422879,2.510947023,2.069432724,3.756188467,0.647058824,0.607843137,0.784313725,0.725490196
L1L,2.552529183,1.445102352,1.346472678,4.781424463,0.5,0.833333333,0.833333333,0.833333333
L1M,1.187794929,1.375509878,1.391066144,3.811285292,0.935483871,0.935483871,0.838709677,0.64516129
L1N,2.931066071,2.621550441,2.871998931,3.190656132,0.590909091,0.454545455,0.647727273,0.647727273
L1P,1.864772784,2.545067388,1.650383286,4.140989028,0.869565217,0.52173913,0.782608696,0.695652174
L1R,1.610759717,2.125537868,1.583860425,4.221778081,0.842105263,0.561403509,0.842105263,0.666666667
L1S,2.754826873,3.049623451,2.220596079,3.784438803,0.657534247,0.753424658,0.753424658,0.479452055
L1T,1.427092069,2.787331552,1.482965072,4.71928935,0.95,0.5875,0.9,0.7
L1V,2.186138085,2.574999166,2.067507592,4.182700971,0.857142857,0.583333333,0.869047619,0.571428571
L1W,3.061813913,2.750748459,3.119812151,3.418080423,0.862068966,0.586206897,0.517241379,0.75862069
L1X,1.689300143,2.255397715,1.527694513,4.551674704,0.464285714,0.571428571,0.857142857,0.928571429
L1Y,2.965753425,2.076276463,2.971980075,2.832503113,0.571428571,0.714285714,0.428571429,0.714285714
L1Z,1.335357803,2.431674148,1.027000264,4.817566675,0.666666667,0.666666667,0.904761905,0.714285714
L2A,3.320730466,3.806297863,4.475124511,1.984308895,0.53125,0.5625,0.875,0.40625
L2E,3.454293231,3.238005262,3.42068883,2.892465917,0.555555556,0.507936508,0.412698413,0.714285714
L2G,3.784769891,4.087681331,3.573090319,2.695127312,0.6,0.763636364,0.581818182,0.636363636
L2H,2.652276759,2.49319929,2.792463368,3.335600237,0.647058824,0.617647059,0.588235294,0.558823529
L2J,3.180003826,3.132308869,4.300133903,2.275457502,0.607142857,0.678571429,0.75,0.678571429
L2M,3.518734879,3.512804626,3.992830589,2.497787219,0.451612903,0.451612903,0.887096774,0.564516129
L2N,3.516629297,2.788926258,4.371543348,2.317607125,0.574074074,0.611111111,0.833333333,0.555555556
L2P,3.844103085,4.144026914,3.122445093,2.942617748,0.6,0.6,0.56,0.4
L2R,3.740322466,3.240594739,3.003219926,2.658616853,0.811594203,0.52173913,0.739130435,0.608695652
L2S,3.149980465,3.208536824,2.837126392,3.152617699,0.59375,0.40625,0.625,0.6875
L2T,3.809710551,3.192623716,4.078244631,3.055555556,0.631578947,0.736842105,0.684210526,0.578947368
L2V,3.430919116,3.389700765,2.988169798,2.746962154,0.580645161,0.548387097,0.677419355,0.677419355
L2W,2.791717791,2.549386503,2.634969325,3.541104294,0.75,0.75,0.75,0.5
L3B,3.338293409,3.456335073,3.994023516,2.109991706,0.560606061,0.333333333,0.424242424,0.636363636
L3C,3.284934636,3.207450184,3.906936159,2.416106105,0.647058824,0.62745098,0.470588235,0.725490196
L3K,3.265188834,3.58456486,4.466676326,1.425432242,0.567567568,0.405405405,0.945945946,0.891891892
L3M,2.490590906,1.871677528,3.126565131,2.286483122,0.487179487,0.846153846,0.666666667,0.769230769
L3P,1.725315108,2.211857907,2.597176907,4.593433389,0.786666667,0.64,0.386666667,0.813333333
L3R,2.469321123,2.820895717,3.278158617,4.883879444,0.37804878,0.682926829,0.719512195,0.865853659
L3S,1.129716134,3.894610133,2.776122889,5,0.836363636,0.418181818,0.618181818,1
L3T,3.182541218,2.102117037,3.532490905,4.489995356,0.558823529,0.470588235,0.544117647,0.941176471
L3V,3.635657251,3.518910449,3.747359835,1.962372285,0.647727273,0.363636364,0.5,0.375
L3X,1.748153465,1.955775776,1.273912339,4.349510292,0.741935484,0.870967742,0.741935484,0.612903226
L3Y,2.705771828,2.426266808,2.315189948,3.52834537,0.651162791,0.581395349,0.720930233,0.709302326
L3Z,2.099387237,2.50981916,1.701927963,3.628545808,0.8,0.542857143,0.6,0.714285714
L4A,2.018722682,1.519364168,2.168808576,3.87074608,0.818181818,0.863636364,0.681818182,0.636363636
L4B,2.545824302,2.053223087,3.023868775,4.964865805,0.163636364,0.472727273,0.872727273,0.927272727
L4C,3.097817611,2.480608916,2.892066735,4.670587718,0.6171875,0.4609375,0.734375,0.640625
L4E,1.318214832,1.622897554,1.220279052,4.737079511,0.8,0.85,0.8,0.55
L4G,2.356086121,1.714676165,1.857487965,3.836151717,0.682539683,0.714285714,0.80952381,0.492063492
L4H,1.144245482,2.408075211,1.300897399,4.499166012,0.962264151,0.641509434,0.811320755,0.830188679
L4J,2.173883849,1.665002787,2.696561597,4.454669842,0.278350515,0.824742268,0.525773196,0.958762887
L4K,2.079668793,2.376021036,2.315206445,4.564674947,0.866666667,0.666666667,0.466666667,0.333333333
L4L,1.592799204,2.316386736,2.687694117,3.902803325,0.820224719,0.584269663,0.471910112,0.449438202
L4M,3.047673294,2.867185793,2.230283075,2.840126713,0.702970297,0.663366337,0.801980198,0.623762376
L4N,2.738497888,2.923861882,1.941805734,3.193587096,0.700564972,0.711864407,0.853107345,0.745762712
L4P,2.720897484,3.157372637,1.958755789,2.689823507,0.634146341,0.682926829,0.87804878,0.756097561
L4R,3.478607099,3.633733747,3.942772304,1.830656409,0.511627907,0.441860465,0.395348837,0.372093023
L4S,1.642741357,2.043687385,2.067391247,4.938428423,0.826086957,0.52173913,0.913043478,0.826086957
L4T,3.346659735,4.660670652,2.618429945,4.991551859,0.629032258,0.629032258,0.661290323,0.983870968
L4V,4,5,2,5,1,1,1,1
L4W,2.873701984,2.719164204,3.431532292,3.789953567,0.638888889,0.666666667,0.444444444,0.694444444
L4X,3.952470231,3.960324297,2.536306055,4.472865467,0.666666667,0.75,0.791666667,0.75
L4Y,3.261841499,3.458886881,3.160520069,3.835334963,0.658536585,0.317073171,0.634146341,0.634146341
L4Z,2.863300718,2.880469667,1.947136334,4.787919113,0.477272727,0.75,0.704545455,0.613636364
L5A,3.763720606,3.688828751,2.955040285,4.495868955,0.525423729,0.644067797,0.661016949,0.745762712
L5B,4.01470791,2.877663894,2.517335417,4.8227084,0.518518519,0.740740741,0.481481481,0.666666667
L5C,2.880807606,3.233244868,2.935230289,4.607753553,0.608695652,0.760869565,0.652173913,0.608695652
L5E,3.474917669,2.828214751,2.957417477,2.898981389,0.428571429,0.666666667,0.714285714,0.619047619
L5G,3.562442818,2.729963403,2.717200366,3.349542543,0.837837838,0.648648649,0.675675676,0.864864865
L5H,2.169511568,1.527712082,2.325758355,3.748637532,0.741935484,0.806451613,0.741935484,0.677419355
L5J,3.106916942,2.776987074,2.52684956,3.673920517,0.714285714,0.714285714,0.530612245,0.836734694
L5K,2.932947854,3.367036231,2.593973794,4.192244443,0.62962963,0.62962963,0.444444444,0.666666667
L5L,2.676078977,2.572188796,2.799648124,4.324398879,0.457142857,0.457142857,0.628571429,0.871428571
L5M,2.171965422,2.483235677,1.884648076,4.899052373,0.833333333,0.649122807,0.842105263,0.850877193
L5N,1.954338592,2.291145444,1.518518951,4.483371453,0.897435897,0.675213675,0.837606838,0.905982906
L5R,2.623088766,2.87181461,2.534296029,5,0.372093023,0.465116279,0.488372093,1
L5S,1.732911392,2.732911392,1.244303797,5,0.5,0.5,0.5,1
L5T,2.710928544,3.682078716,1.570309515,5,0.6,0.4,0.6,1
L5V,1.751253725,2.763954503,1.716185769,4.98780798,0.887323944,0.676056338,0.76056338,0.971830986
L5W,1.017637245,2.400651466,1.238301422,4.926908715,0.962962963,0.814814815,0.740740741,0.925925926
L6A,1.42799871,2.189530436,1.509435049,4.444046357,0.901960784,0.666666667,0.62745098,0.725490196
L6B,1.398324427,2.47340297,1.5483204,4.981525738,0.75,0.625,0.875,0.875
L6C,2.076592357,2.029759377,2.01861288,4.99056971,0.166666667,0.895833333,0.458333333,0.958333333
L6E,1.420502721,2.175679002,1.780558519,4.929378299,0.842105263,0.526315789,0.842105263,0.947368421
L6G,5,2.296296296,2,5,1,1,1,1
L6H,2.362755132,1.81200655,1.858632084,4.241256799,0.383838384,0.767676768,0.747474747,0.535353535
L6J,1.845135376,1.450498364,2.634111871,4.107036596,0.901960784,0.882352941,0.509803922,0.529411765
L6K,4.108871572,2.984040162,3.287876517,3.72688446,0.708333333,0.625,0.541666667,0.583333333
L6L,2.509132496,1.598369079,2.888852057,3.364736301,0.434782609,0.804347826,0.782608696,0.826086957
L6M,1.816559012,1.524669018,1.390398094,4.632308702,0.845070423,0.873239437,0.873239437,0.549295775
L6P,1.064726279,3.06151565,1.5306761,4.97550582,0.9,0.375,0.8,0.925
L6R,1.183799646,3.584182702,1.580912166,5,0.974683544,0.911392405,0.873417722,1
L6S,2.265563016,3.44062441,2.258865553,4.540536827,0.604938272,0.666666667,0.580246914,0.925925926
L6T,3.054151258,4.023245418,2.054577966,4.829316861,0.708333333,0.4375,0.75,0.708333333
L6V,3.02397553,4.191017048,1.875309253,4.647744141,0.815384615,0.430769231,0.876923077,0.938461538
L6W,3.277060032,3.509837937,3.065099292,4.140561516,0.612903226,0.709677419,0.677419355,0.580645161
L6X,1.814779992,3.061431423,1.496817774,4.763358116,0.833333333,0.722222222,0.722222222,0.666666667
L6Y,2.425031062,3.222774438,1.895440859,4.825861625,0.527472527,0.67032967,0.846153846,0.791208791
L6Z,1.769817379,2.990051891,1.850864367,4.425188498,0.818181818,0.745454545,0.727272727,0.854545455
L7A,1.405136539,2.830267661,1.143840339,4.92620226,0.92,0.573333333,0.8,0.88
L7B,1.849581825,1.264760954,2.098864062,3.134315316,0.80952381,0.666666667,0.666666667,0.571428571
L7C,1.901827768,1.655817223,2.116274165,3.480949033,0.393939394,0.606060606,0.757575758,0.696969697
L7E,1.45962664,2.080080996,1.894427339,3.026379296,0.833333333,0.611111111,0.685185185,0.574074074
L7G,2.073986533,1.829443661,2.127316424,2.804973484,0.775,0.7125,0.7625,0.5875
L7J,2.144656893,1.988628129,2.244439489,2.330508947,0.866666667,0.9,0.5,0.833333333
L7K,1.824440796,1.494664478,2.507079828,2.284732198,0.722222222,0.888888889,0.777777778,0.722222222
L7L,2.556597559,1.521333075,2.698721178,3.209843054,0.414285714,0.8,0.528571429,0.642857143
L7M,2.044719817,1.379864928,2.024966029,3.393696635,0.861111111,0.916666667,0.819444444,0.625
L7N,3.152189417,1.936100414,3.580587648,2.630865782,0.545454545,0.909090909,0.454545455,0.636363636
L7P,2.421612229,1.967720084,2.855358878,2.718640474,0.561403509,0.894736842,0.649122807,0.771929825
L7R,4.071715065,2.396652227,2.886624953,2.642440772,0.870967742,0.387096774,0.548387097,0.580645161
L7S,4.292803769,2.550925926,3.745126706,2.893762183,0.842105263,0.526315789,0.684210526,0.578947368
L7T,3.682172687,2.018087284,3.440677029,2.572487416,0.708333333,0.916666667,0.583333333,0.708333333
L8B,2.213749959,1.399757623,2.001997969,2.584094854,0.454545455,0.863636364,0.886363636,0.636363636
L8E,2.736563726,3.118507324,2.970482853,3.518975309,0.62962963,0.62962963,0.518518519,0.62962963
L8G,3.107791701,3.27394528,4.215930278,2.427351169,0.595238095,0.571428571,0.833333333,0.642857143
L8H,3.978279207,4.68234219,3.029558555,2.564705469,0.672727273,0.945454545,0.836363636,0.654545455
L8J,2.074536664,2.535697019,1.975302176,3.433521354,0.285714286,0.485714286,0.742857143,0.6
L8K,3.731420162,3.944492434,3.322295806,2.593339092,0.711864407,0.677966102,0.576271186,0.576271186
L8L,4.32203339,4.917723226,2.482690406,3.51997722,0.555555556,0.958333333,0.583333333,0.722222222
L8M,4.623185411,4.765562845,2.110244356,3.28310172,0.648648649,0.837837838,0.864864865,0.621621622
L8N,3.446604348,2.964485518,2.253098223,3.317257985,0.791666667,0.25,0.604166667,0.458333333
L8P,4.637713501,3.146081881,2.910308128,3.2626384,0.9,0.575,0.7,0.5
L8R,4.786904864,4.530729122,2.95247457,3.935379092,0.736842105,0.894736842,0.684210526,0.789473684
L8S,4.391062912,3.346116156,3.055726138,3.770366499,0.791666667,0.666666667,0.875,0.666666667
L8T,3.233563691,3.648813971,3.608283526,2.62201158,0.7,0.575,0.475,0.6
L8V,3.875566603,4.186869425,3.601160014,2.768582151,0.846153846,0.794871795,0.461538462,0.538461538
L8W,2.255369748,3.504246725,2.186214186,3.992563512,0.604651163,0.558139535,0.790697674,0.511627907
L9A,3.464942138,3.855934936,3.475188994,3.428612375,0.583333333,0.708333333,0.5625,0.5
L9B,2.300134067,2.5202512,2.344764324,3.583403895,0.583333333,0.472222222,0.722222222,0.555555556
L9C,2.924715396,3.470889793,3.412789718,3.56935185,0.75,0.472222222,0.458333333,0.666666667
L9E,2.760421014,1.295173181,1.446561877,4.19534474,0.666666667,0.666666667,0.533333333,0.533333333
L9G,1.928602716,1.537167298,2.791218984,3.176161398,0.905660377,0.867924528,0.566037736,0.471698113
L9H,2.6134794,1.867063587,3.329840438,2.246558704,0.5,0.743243243,0.581081081,0.675675676
L9J,1.655226935,2.462704613,1.529854911,3.790550595,0.5,0.666666667,0.666666667,0.666666667
L9K,1.936437247,1.801551957,2.404385965,4.336774629,0.882352941,0.470588235,0.764705882,0.882352941
L9L,2.443834112,2.049546828,3.359516616,1.952156001,0.636363636,0.636363636,0.606060606,0.454545455
L9M,3.369503178,3.440588922,4.368789726,1.568491374,0.703703704,0.592592593,0.851851852,0.851851852
L9N,1.993328289,2.151317147,2.493844143,2.854391636,0.458333333,0.625,0.541666667,0.625
L9P,2.389506644,1.815141905,2.783549436,2.072979808,0.685714286,0.742857143,0.714285714,0.428571429
L9R,2.581020786,2.525447093,2.329125404,2.516305728,0.615384615,0.58974359,0.717948718,0.58974359
L9S,2.323449349,3.031466719,2.023138246,2.702799922,0.5625,0.395833333,0.8125,0.583333333
L9T,1.983678233,1.488152361,1.488356152,4.297589714,0.893442623,0.844262295,0.762295082,0.754098361
L9V,2.691609977,2.839790989,2.019225081,2.864044168,0.666666667,0.666666667,0.75,0.583333333
L9W,2.312122909,2.31575128,2.190334018,2.654392403,0.773333333,0.466666667,0.813333333,0.76
L9X,1.375295943,1.297738591,2.080496367,2.598824394,0.631578947,0.684210526,0.526315789,0.736842105
L9Y,3.458088441,2.454694934,3.852329975,1.836446963,0.522727273,0.568181818,0.75,0.340909091
L9Z,3.111970979,3.507908102,4.907472793,1.721837969,0.6,0.72,0.88,0.52
M1B,2.429155246,4.370168557,2.617423559,4.982553464,0.477272727,0.852272727,0.568181818,0.977272727
M1C,1.686789418,2.495313627,3.28406633,4.137208142,0.847457627,0.694915254,0.644067797,0.728813559
M1E,3.417407683,3.985566604,2.934053178,4.434316002,0.476923077,0.861538462,0.692307692,0.769230769
M1G,3.446262179,4.611163384,2.960421283,4.876559323,0.395348837,0.906976744,0.744186047,0.837209302
M1H,3.765444862,3.959053885,2.816885965,4.872431078,0.382352941,0.558823529,0.705882353,0.764705882
M1J,4.040385307,4.419353946,2.565837185,4.917651618,0.825,0.85,0.5,0.875
M1K,3.900241747,4.515841944,2.895920245,4.873842073,0.819672131,0.901639344,0.62295082,0.819672131
M1L,3.779900422,3.860239203,2.283553415,4.758686005,0.511627907,0.511627907,0.651162791,0.627906977
M1M,3.312266528,3.424854487,3.11614977,4.223351577,0.473684211,0.421052632,0.842105263,0.763157895
M1N,3.783707747,3.216964098,2.742011337,3.376401428,0.688888889,0.533333333,0.711111111,0.777777778
M1P,3.873851332,3.991563517,2.96397334,4.877726357,0.754716981,0.452830189,0.773584906,0.811320755
M1R,3.544512513,4.137447862,2.926355579,4.556341241,0.557692308,0.423076923,0.769230769,0.961538462
M1S,3.268238444,4.220048794,3.811321977,4.962152126,0.413793103,0.534482759,0.534482759,0.948275862
M1T,3.981982211,3.798322745,3.921524778,4.901931385,0.822222222,0.711111111,0.911111111,0.822222222
M1V,2.20791198,4.677953263,3.7073628,4.931238874,0.472222222,0.958333333,0.652777778,0.958333333
M1W,2.981990018,4.04623005,3.737099805,4.875182662,0.637681159,0.869565217,0.84057971,0.826086957
M1X,1.103992455,3.922037095,1.970952531,5,0.933333333,0.933333333,0.666666667,1
M2H,3.498188406,2.99384058,3.601409018,4.918800322,0.710526316,0.789473684,0.631578947,0.947368421
M2J,4.185937845,3.249757871,2.758737872,4.821113622,0.823529412,0.558823529,0.441176471,0.764705882
M2K,4.060389938,1.777704562,3.12775689,4.860072096,0.709677419,0.806451613,0.64516129,0.806451613
M2L,2.973976222,2.218824306,2.890488771,4.590488771,0.772727273,0.363636364,0.454545455,0.590909091
M2M,4.129220614,2.941976249,3.409043468,4.857634481,0.5625,0.645833333,0.625,0.833333333
M2N,4.475320984,1.839136832,2.576665283,4.847361074,0.609756098,0.743902439,0.609756098,0.768292683
