PCODE3,Instability_q_DA16,Deprivation_q_DA16,Dependency_q_DA16,Ethniccon_q_DA16,2016_weightedAverage_q_within_1SD.in1SD_Instability_q_DA16,2016_weightedAverage_q_within_1SD.in1SD_Deprivation_q_DA16,2016_weightedAverage_q_within_1SD.in1SD_Dependency_q_DA16,2016_weightedAverage_q_within_1SD.in1SD_Ethniccon_q_DA16
K0B,2.844491338,2.99969368,3.747591981,1.188693373,0.673076923,0.846153846,0.557692308,0.846153846
K0C,2.522334261,2.889233624,3.643123299,1.349698103,0.645669291,0.62992126,0.511811024,0.68503937
K0A,2.09785649,1.834527343,2.563648818,1.850446683,0.592417062,0.763033175,0.611374408,0.388625592
K0E,2.556850358,3.00026187,4.053012324,1.294194668,0.726495726,0.777777778,0.717948718,0.743589744
K0G,2.4491353,2.33618285,3.842270206,1.29960949,0.740384615,0.586538462,0.471153846,0.740384615
K1E,2.31662411,1.920507996,3.297607848,2.465528827,0.833333333,0.433333333,0.566666667,0.866666667
K1C,2.412240616,1.839356493,2.984122173,3.269410119,0.4,0.766666667,0.666666667,0.783333333
K1B,3.356338913,3.190253099,2.75769868,3.330514769,0.59375,0.71875,0.46875,0.5625
K1J,3.500350249,2.962717933,3.492255604,3.645586862,0.465116279,0.604651163,0.372093023,0.581395349
K1K,4.405969662,4.142064916,2.711825151,3.933681292,0.86,0.82,0.56,0.88
K1L,4.912667329,4.165195534,2.936692582,3.271584731,0.966666667,0.866666667,0.5,0.8
K1M,3.992227979,1.262115209,3.351264858,2.701767754,0.769230769,0.769230769,0.461538462,0.769230769
K1A,4.093130129,2.70926143,2.872403283,2.894958968,0.870967742,0.387096774,0.548387097,0.774193548
K1N,4.614402736,2.742683315,2.360704629,3.459797996,0.911111111,0.422222222,0.688888889,0.533333333
K1S,4.032894051,1.68288188,2.091553948,3.052296672,0.84,0.86,0.8,0.84
K1R,5,2.39495205,1.958463258,3.304583162,1,0.666666667,0.866666667,0.7
K1P,4.763636364,1.472727273,2.29828722,2.903820817,0.8,0.8,0.8,0.8
K1Y,4.024912281,1.760350877,2.187017544,2.582756892,0.833333333,0.888888889,0.805555556,0.666666667
K1Z,3.748638188,2.459217317,2.062392489,3.317696388,0.820512821,0.692307692,0.794871795,0.538461538
K2A,3.571043946,1.967213827,3.070566267,2.873024145,0.636363636,0.393939394,0.696969697,0.575757576
K2C,3.196041549,2.163374924,2.193052856,4.048299789,0.595744681,0.659574468,0.595744681,0.744680851
K2G,2.718267755,2.35697261,2.4577846,3.878544882,0.614457831,0.457831325,0.807228916,0.722891566
K2E,3.715136719,2.876708984,3.445849609,3.59375,0.727272727,0.545454545,0.757575758,0.545454545
K1V,3.513560711,2.901083431,2.454702591,3.884511209,0.481927711,0.457831325,0.759036145,0.819277108
K2H,3.390376186,2.304539488,2.715990985,3.591619406,0.604166667,0.75,0.5,0.520833333
K2B,4.53303087,3.814536648,2.894178597,3.678121456,0.833333333,0.476190476,0.595238095,0.547619048
K2J,2.183992602,1.525018566,1.428923732,4.20049883,0.569620253,0.797468354,0.759493671,0.493670886
K1T,2.564618563,2.298970847,1.436471804,4.766030301,0.594594595,0.540540541,0.702702703,0.513513514
K1H,3.19678057,2.483535724,3.579723242,3.324710534,0.633333333,0.4,0.666666667,0.6
K1G,3.664293522,3.167026376,2.748577515,3.961403705,0.530612245,0.530612245,0.673469388,0.714285714
K1W,2.144498412,1.185783673,1.409490006,3.697179152,0.727272727,0.727272727,0.727272727,0.818181818
K1X,3.616371835,1,1.575442248,3.616371835,0.5,1,0.5,0.5
K0H,2.473979764,2.509359191,3.849831366,1.333254637,0.727272727,0.525252525,0.515151515,0.757575758
K0K,2.533452565,2.894265802,4.007597313,1.467678164,0.710526316,0.811403509,0.912280702,0.960526316
K0L,2.651647957,3.164436927,4.385545133,1.361556205,0.734177215,0.708860759,0.841772152,0.664556962
K0J,2.602528401,3.34172848,4.283521033,1.219892062,0.768115942,0.565217391,0.739130435,0.811594203
