DAUID,Pop2016,Instability_DA16,Deprivation_DA16,Dependency_DA16,Ethniccon_DA16,Instability_q_DA16,Deprivation_q_DA16,Dependency_q_DA16,Ethniccon_q_DA16,DAUID.1,PCODE3
35010155,457,-0.47718923,0.053000097,0.227839327,-1.263003133,2,4,4,1,35010155,K0B
35010155,457,-0.47718923,0.053000097,0.227839327,-1.263003133,2,4,4,1,35010155,K0C
35010156,448,-0.259485231,-0.052982305,0.703184178,-1.128303939,3,3,5,1,35010156,K0B
