Pop2016,Instability_DA16,Deprivation_DA16,Dependency_DA16,Ethniccon_DA16,Instability_q_DA16,Deprivation_q_DA16,Dependency_q_DA16,Ethniccon_q_DA16,PCODE3,2016_standard_derivation.SD_Instability_DA16,2016_standard_derivation.SD_Deprivation_DA16,2016_standard_derivation.SD_Dependency_DA16,2016_standard_derivation.SD_Ethniccon_DA16,2016_standard_derivation.SD_Instability_q_DA16,2016_standard_derivation.SD_Deprivation_q_DA16,2016_standard_derivation.SD_Dependency_q_DA16,2016_standard_derivation.SD_Ethniccon_q_DA16,2016_standard_derivation.PCODE3,2016_standard_derivation.count
973.2727273,-0.61141446,-0.909667905,-0.658334941,0.02924902,2,1.363636364,1.909090909,3.454545455,K1W,0.578065145,0.366541902,0.732480844,0.437839223,1.341640786,0.674199862,1.445997611,0.820199532,K1W,11
1441.5,-0.249887902,-1.122695988,-0.461309294,0.059490258,3,1,2.5,3,K1X,0.475052088,0.070265583,0.972193801,0.795116097,1.414213562,0,2.121320344,1.414213562,K1X,2
598.989899,-0.416707253,-0.268473839,0.545429298,-0.926978711,2.505050505,2.636363636,3.898989899,1.303030303,K0H,0.400701188,0.660649363,0.891300282,0.255967751,0.918891717,1.216003369,1.054581351,0.613696486,K0H,99
593.4692982,-0.38750653,-0.127395324,0.558585587,-0.881949294,2.548245614,2.938596491,4.004385965,1.442982456,K0K,0.466107128,0.658300866,0.861008205,0.242065137,1.00323112,1.116832271,1.017459075,0.587156111,K0K,228
617.3734177,-0.343932735,0.046326786,0.873646141,-0.929801292,2.67721519,3.240506329,4.392405063,1.360759494,K0L,0.415102215,0.740803906,0.784956614,0.235881466,0.911839936,1.248848538,0.843373896,0.5438522,K0L,158
588.1014493,-0.372779488,0.108066133,0.745429483,-1.012234108,2.594202899,3.405797101,4.275362319,1.231884058,K0J,0.404206286,0.654886784,0.776778756,0.278263686,0.879820178,1.141707192,1.055574251,0.51862169,K0J,69
709.6144578,-0.30919369,-0.020141013,1.083865823,-0.986167982,2.78313253,3.253012048,4.409638554,1.204819277,K0M,0.369806382,0.504725679,1.081863014,0.219677936,0.797070746,1.080236802,0.924413388,0.43502274,K0M,83
856.4285714,-0.479365253,-0.77108444,-0.204439307,0.132025257,2.214285714,1.595238095,2.523809524,3.5,K2K,0.822467001,0.444338426,1.237435648,0.571392578,1.353148348,0.964226565,1.656297594,0.91731315,K2K,42
578.3333333,-0.411060285,-0.548812886,-0.200170988,-0.273562083,2.484848485,2.060606061,2.727272727,2.96969697,K2L,0.395185148,0.522927713,0.610721684,0.353476837,0.939455032,1.143989563,1.179849759,0.983769806,K2L,33
937.46875,-0.677293065,-0.837307684,-0.467662901,0.018501635,1.84375,1.53125,2.125,3.375,K2M,0.449828013,0.525416113,0.995060829,0.515208989,1.050633449,0.983226256,1.518700633,0.906962317,K2M,32
683.0416667,2.836948375,-0.793107592,-0.448413943,-0.299531692,4.708333333,1.75,2.208333333,2.875,K2P,1.296394819,0.809771829,0.83155492,0.410982156,0.999093792,1.293797914,1.531670491,0.850191794,K2P,24
693,-0.445882928,-1.03210429,-0.155065969,-0.250608381,2.5,1,3,3,K2R,0.60465958,0.000741189,0.40599905,0.076909476,2.121320344,0,1.414213562,0,K2R,2
946.3243243,-0.740376476,-1.024873185,-0.361411976,-0.366737779,1.72972973,1.297297297,2.135135135,2.72972973,K2S,0.454884415,0.342506783,1.242231802,0.391852849,1.017858554,0.617560832,1.456063227,1.017858554,K2S,37
1231.777778,-0.232322017,-1.108178717,-0.131139146,0.520267898,2.666666667,1.111111111,2.111111111,4.111111111,K2T,1.21988375,0.232279295,2.036242269,0.80073499,1.5,0.333333333,1.691481928,1.166666667,K2T,9
2396.8,-0.197265575,-1.165038745,-0.991766292,0.328335914,3,1,1.2,4,K2V,0.336185124,0.219246732,0.31390725,0.504880669,1,0,0.447213595,0.707106781,K2V,5
835.3846154,-1.043469359,-0.831555326,-0.780268164,0.283845133,1.384615385,1.230769231,1.615384615,3.692307692,K2W,0.366027781,0.173587301,0.424425673,0.681520321,0.506369684,0.43852901,0.869718493,1.182131929,K2W,13
806.3380282,-0.634261852,-0.793932767,-0.83861573,0.117578516,1.929577465,1.61971831,1.661971831,3.61971831,K4A,0.480159023,0.309716122,0.567707123,0.488753735,1.137967407,0.704398369,1.013391223,0.851321614,K4A,71
1078.944444,-0.547625568,-0.843282035,-0.729345709,-0.092830283,2.222222222,1.5,1.944444444,2.944444444,K4B,0.430983965,0.274185256,0.562913923,0.802229529,1.060274967,0.618346942,0.937595311,1.392087819,K4B,18
834.2857143,-0.652490966,-0.809180916,-0.21296408,-0.619042049,1.857142857,1.285714286,2.857142857,2.142857143,K4C,0.219110297,0.262877395,0.203552076,0.20129262,0.899735411,0.755928946,0.690065559,0.899735411,K4C,7
810.8095238,-0.197530356,-0.322985644,-0.094713896,-0.634476496,2.857142857,2.571428571,2.761904762,1.952380952,K4K,0.645803137,0.643763969,0.92727062,0.200695289,1.38873015,1.325572653,1.410842369,0.669043382,K4K,21
725.35,-0.637990748,-0.978829333,0.129762179,-0.515521536,1.95,1.3,3.35,2.2,K4M,0.356564055,0.323610808,0.827372203,0.49234107,0.887041208,0.571240571,1.496487115,1.151657844,K4M,20
845.5384615,-0.798156256,-0.896634824,-0.310210233,-0.542003057,1.538461538,1.384615385,2.461538462,2.307692308,K4P,0.262654515,0.3385182,0.569361507,0.26966415,0.776250026,0.767947648,1.391365314,0.854850414,K4P,13
604.2631579,-0.689415581,-0.585376012,-0.545727,-0.673107871,1.842105263,2.105263158,1.947368421,2.105263158,K4R,0.309245278,0.379796372,0.420156648,0.227461187,1.067872126,0.936585812,1.129094239,0.657836255,K4R,19
614.4615385,0.33094939,0.768045314,0.934695683,-0.859361387,3.692307692,3.884615385,4.461538462,1.5,K6A,0.828470725,1.246830614,0.956615286,0.354038632,1.123182292,1.275207374,0.947872111,0.761577311,K6A,26
494.5696203,0.402854137,0.934197546,0.683011824,-0.599460052,3.746835443,3.911392405,4.139240506,2.113924051,K6H,0.862598498,1.456492087,0.865463918,0.434128249,1.192587732,1.397707587,0.970516347,0.986931813,K6H,79
499.9230769,0.494145159,0.942647088,0.861204534,-0.638383372,3.897435897,4.128205128,4.230769231,2.076923077,K6J,0.87537673,1.126493483,1.715196266,0.414985975,1.187542172,1.196034834,0.958659658,1.010070748,K6J,39
519.875,-0.386593309,0.037394721,0.428782504,-0.779382661,2.75,3.5,4.375,1.625,K6K,0.414275047,0.439850468,0.241936249,0.23503857,0.88640526,0.9258201,0.51754917,0.744023809,K6K,8
491.6666667,-0.635321786,-0.267407781,0.269281865,-0.870117428,2,3,4,1.5,K6T,0.160956473,0.270057708,0.391138218,0.291138871,0.632455532,0.632455532,0.894427191,0.547722558,K6T,6
508.2318841,0.193461177,0.252611565,0.701701467,-0.76454582,3.362318841,3.376811594,4.246376812,1.710144928,K6V,0.926517788,1.016781874,0.848434357,0.264200176,1.305767911,1.295937649,0.976274387,0.749538079,K6V,69
582.902439,-0.094512028,0.320099305,0.440248788,-0.823530062,3.024390244,3.365853659,3.780487805,1.463414634,K7A,0.669904809,1.060957261,0.811682528,0.223007356,1.29398232,1.355656622,1.084255392,0.636300282,K7A,41
699.1470588,-0.239583916,-0.392006414,-0.054730913,-0.740758874,2.823529412,2.382352941,2.970588235,1.735294118,K7C,0.535030815,0.472439199,0.617953386,0.216144992,1.113840972,1.073501941,1.193042815,0.751113256,K7C,34
547.76,-0.017956576,-0.176196545,0.602989005,-0.885522076,3.24,2.88,4.16,1.32,K7G,0.698711982,0.738082638,0.767400098,0.251388987,1.011599394,1.394034911,0.898146239,0.556776436,K7G,25
617.0285714,-0.021515793,-0.225621606,0.861724973,-0.944185512,3.171428571,2.8,4.142857143,1.2,K7H,0.775877056,0.570320501,1.020762792,0.162167248,1.224401758,1.183215957,1.004192891,0.405839725,K7H,35
624.509434,1.178472826,0.751424344,-0.228923305,-0.2676879,4.433962264,3.641509434,2.773584906,2.886792453,K7K,1.075416151,1.682072047,0.883744628,0.47868361,0.970912219,1.570085,1.395618273,0.953946809,K7K,53
690.0338983,0.796116811,-0.492677168,0.085163346,-0.365510736,3.610169492,2.186440678,3.169491525,2.728813559,K7L,1.48267781,0.672183074,0.94444311,0.550757596,1.426557819,1.210223352,1.341030771,1.186570086,K7L,59
624.975,0.437088426,-0.090013478,0.368063029,-0.406997027,3.6,2.975,3.7125,2.525,K7M,1.085455491,0.795597567,1.021035972,0.532124845,1.207571053,1.252592249,1.370519166,0.993332201,K7M,80
647.8461538,-0.247259235,-0.076981163,0.030082075,-0.567161752,2.846153846,3,3.307692308,2.307692308,K7N,0.510018311,0.752507461,0.726762523,0.25558781,1.068188018,1.224744871,1.436698495,0.751067616,K7N,13
864.6896552,-0.299490464,-0.563473376,-0.049610994,-0.463303045,2.551724138,2.137931034,2.896551724,2.586206897,K7P,0.753847401,0.522201142,0.83046068,0.302974286,1.351882468,1.156476729,1.205488271,0.907006118,K7P,29
527.5,-0.12387815,0.066937612,0.525227981,-0.84296919,2.972222222,3.138888889,4.027777778,1.527777778,K7R,0.659119048,0.842945732,0.71531499,0.264911027,1.133543398,1.334225892,0.970599553,0.696362431,K7R,36
699.6,-0.057460203,-0.19340966,0.274858963,-0.84132539,3.08,2.8,3.84,1.56,K7S,0.690290236,0.693490608,0.550981427,0.310819922,1.320353488,1.290994449,1.143095213,0.711805217,K7S,25
621.9655172,0.024961073,0.178169607,0.755509613,-0.966473687,3.275862069,3.482758621,4.379310345,1.24137931,K7V,0.701924042,0.741918353,0.766176174,0.209953209,1.161789006,1.213633554,0.82000841,0.510963545,K7V,29
631.6,-0.005325918,0.158511929,0.359502873,-0.869267842,3.24,3.3,3.66,1.36,K8A,0.73119869,0.847287389,0.922220337,0.213643476,1.254542766,1.281739889,1.153698578,0.562791874,K8A,50
561.6666667,-0.392113322,-0.573527422,0.485372076,-0.89908717,2.333333333,2,4.333333333,1.333333333,K8B,0.371573291,0.470657065,0.289819648,0.172503145,1.154700538,1,0.577350269,0.577350269,K8B,3
882.5882353,0.008646995,-0.691662247,-1.048732017,-0.592010362,3.235294118,1.823529412,1.529411765,2.117647059,K8H,0.692480205,0.396037059,0.657485944,0.220988081,1.393261092,1.014599312,0.717430054,0.781213234,K8H,17
632.7741935,0.16619403,0.111761641,0.513973425,-0.684345409,3.322580645,3.177419355,3.790322581,1.967741935,K8N,0.941733667,0.964166052,1.02261359,0.359002715,1.327813358,1.431772873,1.161360095,0.848677697,K8N,62
594.7368421,0.769449942,0.822336441,0.417192369,-0.470581288,4.263157895,4.236842105,3.684210526,2.447368421,K8P,0.873996969,0.934358498,0.917031382,0.31238955,0.890921495,1.050976651,1.317353267,0.860463999,K8P,38
555.3333333,-0.521146176,-0.648446457,0.792609946,-0.736959229,2.333333333,1.666666667,4.666666667,1.666666667,K8R,0.208049861,0.362983049,0.477443736,0.177446514,0.577350269,1.154700538,0.577350269,0.577350269,K8R,3
575.9649123,0.075753104,0.290445765,0.26150172,-0.66789818,3.245614035,3.526315789,3.561403509,2.070175439,K8V,0.827617149,0.874892502,0.997831108,0.299883835,1.340051995,1.196800245,1.165233635,0.84218358,K8V,57
547.462963,0.026174411,-0.149006785,0.836534751,-0.793150324,3.259259259,2.703703704,4.074074074,1.62962963,K9A,0.783514557,0.942020892,1.361006309,0.292353406,1.276569477,1.326502418,1.130233769,0.681183662,K9A,54
637.8571429,0.978174676,0.581723345,0.522830637,-0.49510993,4.265306122,4,3.795918367,2.367346939,K9H,1.082322527,0.865897493,1.090791124,0.311950067,0.810748374,1.099242163,1.290665071,0.858629663,K9H,49
615.4226804,0.369815122,0.337196782,0.315303893,-0.526973085,3.536082474,3.432989691,3.649484536,2.268041237,K9J,1.028767923,1.132016077,0.88696087,0.4136444,1.258817697,1.449908162,1.241984611,1.025868168,K9J,97
820.9444444,-0.278080553,-0.62850898,0.335272194,-0.397911665,2.777777778,1.888888889,3.833333333,2.666666667,K9K,0.457664484,0.386187187,0.582429549,0.310508838,1.215369978,0.963381843,0.985184366,0.907485213,K9K,18
763.2307692,-0.252135246,-0.235635904,0.092795012,-0.407554675,2.846153846,2.769230769,3.538461538,2.538461538,K9L,0.411317661,0.567996745,0.574746955,0.304908295,0.987096234,1.165750556,1.126601424,1.050030525,K9L,13
657.6346154,0.118661697,0.341982696,0.803617853,-0.693228716,3.346153846,3.596153846,4.307692308,1.923076923,K9V,0.757492626,0.91811631,1.019900081,0.303872696,1.186271393,1.159100655,0.919046,0.836569884,K9V,52
593.025,-0.611884945,-0.499035414,-0.023905848,-0.760044705,2.1,2.275,3.25,1.775,L0A,0.229503271,0.368722699,0.325380243,0.192804329,0.708917557,0.960435265,0.80860754,0.576794858,L0A,40
561.4237288,-0.544156242,-0.495761701,0.013867316,-0.731437568,2.13559322,2.288135593,3.220338983,1.762711864,L0B,0.373596588,0.374499202,0.543203913,0.272685596,0.899379616,0.851992542,1.067833718,0.773237329,L0B,59
597.5294118,-0.608679467,-0.526618993,-0.159493778,-0.729651308,2.088235294,2.264705882,2.735294118,1.676470588,L0C,0.219126669,0.398585064,0.654460346,0.236770636,0.712130694,0.931236504,1.05338771,0.726994153,L0C,34
582.7924528,-0.347323578,-0.134863482,0.012773742,-0.76541479,2.79245283,3.056603774,3.094339623,1.679245283,L0E,0.371425227,0.542103007,0.723746167,0.259928265,0.927330548,1.026852816,1.09657072,0.753800241,L0E,53
601.6875,-0.556809318,-0.557464516,-0.111444738,-0.588930588,2.135416667,2.125,2.802083333,2.208333333,L0G,0.330591768,0.38751298,0.984427237,0.288068773,0.947237442,0.909019136,1.138972683,0.79361487,L0G,96
1566.692308,-0.519536416,-0.51025824,-0.29508456,0.14211055,2.230769231,2.307692308,2.538461538,3.230769231,L0H,0.518856838,0.25726962,0.498649887,0.976938563,1.165750556,0.751067616,1.126601424,1.300887271,L0H,13
2021.727273,-0.825493088,-0.727112918,-0.535292331,-0.166519342,1.454545455,1.818181818,2.090909091,2.909090909,L0J,0.303615309,0.323924233,0.448702934,0.525856645,0.687551651,0.873862898,1.044465936,1.136181804,L0J,11
571.4059406,-0.347222632,-0.081557215,0.460026349,-0.918709256,2.742574257,3.099009901,3.732673267,1.287128713,L0K,0.347257551,0.646385476,0.90074698,0.20649829,0.832507842,1.118078266,1.112574394,0.496721928,L0K,101
633.2352941,-0.508056216,-0.481897826,0.116121287,-0.706383541,2.352941176,2.274509804,2.990196078,1.901960784,L0L,0.348041862,0.534193973,1.201567662,0.321217533,0.940266013,1.109427314,1.222682476,0.873252755,L0L,102
615.7710843,-0.412887748,-0.32855727,-0.296058181,-0.672597784,2.493975904,2.542168675,2.638554217,1.86746988,L0M,0.503465975,0.49053367,0.880912194,0.360603515,1.119380207,1.118592373,1.235435277,0.866322257,L0M,83
597.2647059,-0.550367972,-0.55895974,-0.291467698,-0.63832014,2.205882353,2.176470588,2.558823529,2,L0N,0.267147593,0.407550144,0.408762558,0.227237747,0.769864678,0.999108337,0.894128201,0.778498944,L0N,34
607.4102564,-0.687349305,-0.725297661,-0.207865668,-0.51396042,1.871794872,1.692307692,2.769230769,2.282051282,L0P,0.237598669,0.368469871,0.456313287,0.36735575,0.695076186,0.893068223,0.930804362,0.99864956,L0P,39
778.6949153,-0.648798519,-0.577899995,-0.057270425,-0.600383883,1.906779661,2.101694915,2.686440678,2.059322034,L0R,0.38563197,0.417928569,1.206587127,0.376936482,0.986986159,1.016024013,1.122414617,0.917935,L0R,118
670.4787234,-0.383190248,-0.474284576,0.405606934,-0.765571655,2.563829787,2.276595745,3.872340426,1.691489362,L0S,0.424582322,0.530952095,0.844979907,0.294040484,1.000628949,1.167703889,1.007862025,0.790080923,L0S,94
531.3783784,-0.08533485,-0.149780159,0.437412861,-0.838596872,3.027027027,2.837837838,3.783783784,1.540540541,L1A,0.75651514,0.645692166,0.868228316,0.239137686,1.23572935,1.142937578,1.133704232,0.605282055,L1A,37
649.3181818,-0.527471238,-0.436623961,0.641725197,-0.63883095,2.363636364,2.363636364,3.181818182,2.090909091,L1B,0.346892745,0.428067309,2.441891749,0.328251991,1.09307145,1.002162165,1.332250643,0.921132373,L1B,22
712.9324324,-0.356905232,-0.221661088,-0.222752101,-0.486855297,2.472972973,2.797297297,2.513513514,2.445945946,L1C,0.639537933,0.6086112,1.210493292,0.343375352,1.241110561,1.238422878,1.426205265,0.923689622,L1C,74
760.8157895,-0.589208275,-0.517391211,-0.336043785,-0.377498341,2.078947368,2.157894737,2.157894737,2.736842105,L1E,0.365656243,0.44581829,1.533844767,0.353888613,0.969301196,0.916111518,1.461696826,0.890921495,L1E,38
601.4266667,0.468414755,0.50166247,0.461823202,-0.436287388,3.8,3.733333333,3.573333333,2.426666667,L1G,0.967468672,1.014763908,1.294554534,0.498327561,0.958602587,1.0946224,1.41586888,1.080206854,L1G,75
625.9438202,0.197025794,0.585276416,0.011288848,-0.298663672,3.438202247,3.752808989,3.078651685,2.685393258,L1H,0.890301149,1.203502801,0.817367226,0.585755226,1.147676073,1.342325821,1.307536885,1.113915143,L1H,89
528.5595238,0.31432438,0.876277903,0.038093186,-0.326965777,3.69047619,4.107142857,3.130952381,2.69047619,L1J,0.851285445,1.28013408,0.780188501,0.432658957,1.119123909,1.130282587,1.29670353,1.029401399,L1J,84
836.4705882,-0.668723511,-0.192601877,-0.604529393,0.055272552,1.960784314,2.745098039,2.078431373,3.431372549,L1K,0.464759094,0.687828955,0.637724855,0.561117055,0.999215378,1.180561515,1.230335519,0.984985319,L1K,51
985.1666667,-0.605568691,-0.802616118,-0.667292577,0.883213227,2.166666667,1.666666667,1.666666667,4.5,L1L,0.449552595,0.455864032,0.623093458,0.891859259,1.169045194,1.211060142,1.211060142,0.836660027,L1L,6
806.6451613,-1.072593645,-0.805954532,-0.896917011,0.065118448,1.290322581,1.516129032,1.580645161,3.612903226,L1M,0.480812492,0.239887138,0.639971441,0.401181778,0.824360293,0.625617974,1.025481791,0.715421524,L1M,31
595.4318182,-0.055923325,-0.277578061,-0.007340228,-0.259787555,2.852272727,2.568181818,3.056818182,2.920454545,L1N,0.961647638,0.781816908,0.863222785,0.456161896,1.44269681,1.345878806,1.3506742,0.973459182,L1N,88
867.7826087,-0.769567832,-0.497893461,-0.694851556,0.30696991,1.695652174,2.173913043,1.695652174,3.869565217,L1P,0.783066122,0.600078272,0.8869419,0.650688275,1.063219066,1.154129893,1.063219066,1.057628042,L1P,23
746.122807,-0.808024526,-0.517170687,-0.702966792,0.472678857,1.526315789,2.175438596,1.666666667,4.157894737,L1R,0.469123832,0.514271391,0.650220593,0.456004175,1.019545823,1.054290672,1.023532631,0.560276516,L1R,57
642.0958904,-0.185928223,-0.018796652,-0.240367528,0.186943614,2.808219178,3.054794521,2.479452055,3.493150685,L1S,0.795537558,0.863710253,0.999483545,0.815974479,1.350488947,1.234801052,1.434782107,1.191675847,L1S,73
640.9625,-0.951701427,-0.280553239,-0.797495409,1.08066137,1.3875,2.6625,1.5375,4.675,L1T,0.470044529,0.531208804,0.400674359,0.602354483,0.754627077,1.124454861,0.825905717,0.522288053,L1T,80
713.5,-0.512825528,-0.357628768,-0.342656371,0.416178593,2.119047619,2.523809524,2.178571429,4.035714286,L1V,0.631252324,0.558081358,1.036274906,0.585575057,1.216401585,1.176846823,1.163301433,0.798287755,L1V,84
587.4137931,-0.126066113,-0.193664963,-0.021517764,-0.136030787,3.206896552,2.931034483,3.206896552,3.24137931,L1W,0.458147089,0.468350484,0.428118255,0.32884354,1.081642611,1.032716061,0.818505186,0.830454799,L1W,29
822.1071429,-0.766207042,-0.384042239,-0.629872143,0.826023255,1.535714286,2.392857143,1.75,4.464285714,L1X,0.164580377,0.530748562,0.337534448,0.672026473,0.576203594,1.065947178,0.799305254,0.63724772,L1X,28
