Pop2016,Instability_DA16,Deprivation_DA16,Dependency_DA16,Ethniccon_DA16,Instability_q_DA16,Deprivation_q_DA16,Dependency_q_DA16,Ethniccon_q_DA16,PCODE3
565,-0.26430794426923077,-0.0508073978846154,0.3147417364423077,-0.9580321908269233,3,3,4,1,K0B
518,-0.38030709786614186,-0.13319637033070858,0.2951868472283464,-0.9199565339291337,3,3,4,1,K0C
664,-0.5639771464123222,-0.670086800369668,-0.26230921802369667,-0.7530715152559244,2,2,3,2,K0A
522,-0.3885775275470085,-0.08607510095726494,0.483296101854701,-0.9362574678376062,3,3,4,1,K0E
586,-0.4355148547788462,-0.4064274707692309,0.3859725532884616,-0.9307542494038461,2,2,4,1,K0G
496,-0.4544855405333334,-0.6438351585000002,0.07151697413333334,-0.4912406848333334,2,2,3,2,K1E
715,-0.34958698430000024,-0.6569085468666667,-0.015444384983333335,-0.15816962208333338,2,2,3,3,K1C
547,-0.10771330703125001,-0.09370365856250003,-0.013174505093749917,-0.013289113625000022,3,3,3,3,K1B
598,0.15183202458139536,-0.11444002209302333,0.3565348054186046,0.29416330686046516,3,3,4,4,K1J
613,0.9863511923999999,1.1498109278,-0.08014888258000001,0.45800467185999993,4,4,3,4,K1K
570,1.9970978174666667,0.8656925452333335,-0.0059480234333333755,-0.013764600733333335,5,4,3,3,K1L
505,0.6588407704615383,-1.0816718053076924,0.3150900517692307,-0.4123212596153847,4,1,3,3,K1M
688,1.2711573241612901,-0.24486821835483868,0.1169890622903226,-0.24592471164516122,4,3,3,3,K1A
559,2.1384554407111116,0.2253942660444444,-0.21160804173333328,0.3068159996222223,5,3,2,4,K1N
575,0.6547270077,-0.8756462029799998,-0.4079745838799999,-0.26708205946,4,2,2,3,K1S
567,2.3692045350999993,-0.3104133466333333,-0.5425103896666668,-0.014245186599999985,5,2,2,3,K1R
759,2.206666283,-1.1086093518,-0.26374883120000003,-0.2849704286,5,1,2,3,K1P
554,1.0089446694722222,-0.7442555089444444,-0.37569889775000004,-0.41029882952777774,4,2,2,3,K1Y
715,0.6843041452307692,0.39144602717948707,-0.4690139993846154,0.11904332943589743,4,3,2,3,K1Z
698,0.21616916757575758,-0.6129099301212121,0.10732300530303032,-0.3266805906969697,3,2,3,3,K2A
1018,0.5767588003404255,-0.08485778514893617,-0.15076115851063834,0.2450058684255319,4,3,3,3,K2C
596,-0.3224718443012048,-0.44770562789156604,-0.3365249436385542,0.28213001897590356,3,2,3,4,K2G
