PCODE3,in1SD_Instability_DA16,in1SD_Deprivation_DA16,in1SD_Dependency_DA16,in1SD_Ethniccon_DA16,in1SD_Instability_q_DA16,in1SD_Deprivation_q_DA16,in1SD_Dependency_q_DA16,in1SD_Ethniccon_q_DA16
P7C,0.760869565,0.673913043,0.695652174,0.847826087,0.5,0.826086957,0.586956522,0.434782609
P7E,0.830188679,0.716981132,0.849056604,0.735849057,0.471698113,0.622641509,0.509433962,0.886792453
P7G,0.869565217,0.826086957,0.782608696,0.695652174,0.565217391,0.826086957,0.652173913,0.434782609
P7J,0.909090909,0.909090909,0.727272727,0.909090909,0.909090909,0.909090909,0.727272727,0.727272727
P7K,0.777777778,0.666666667,0.666666667,0.722222222,0.388888889,0.833333333,0.777777778,0.555555556
P7L,0.75,0.75,0.75,0.75,1,0.5,0.75,0.75
P8N,0.8,0.666666667,0.666666667,0.733333333,0.6,0.533333333,0.666666667,0.866666667
P8T,0.555555556,0.666666667,0.666666667,0.666666667,0.777777778,0.888888889,0.888888889,0.777777778
P9A,0.666666667,0.761904762,0.523809524,0.761904762,0.619047619,0.619047619,0.428571429,0.857142857
P9N,0.709677419,0.64516129,0.709677419,0.677419355,0.677419355,0.580645161,0.612903226,0.709677419
M5X,1,1,1,1,1,1,1,1
M5L,1,1,1,1,1,1,1,1
M5K,1,1,1,1,1,1,1,1
M7Y,1,1,1,1,1,1,1,1
M7R,1,1,1,1,1,1,1,1
