DAUID,Pop2016,Instability_DA16,Deprivation_DA16,Dependency_DA16,Ethniccon_DA16,Instability_q_DA16,Deprivation_q_DA16,Dependency_q_DA16,Ethniccon_q_DA16
35203268,772,-0.428260307,-0.133705808,-0.153706985,0.867778593,3,3,3,5
35203269,518,-0.008508013,0.346378948,-0.444792731,0.684971313,4,4,2,4
35203270,81,0.270454113,1.831812698,0.062723441,-0.273289509,4,5,4,3
35203271,523,-0.289116171,0.427177685,-0.441906248,0.231575599,3,4,2,4
35203273,1461,-0.614130534,-0.669175271,-0.67785626,1.681118158,2,2,2,5
35203274,773,1.666064012,1.288069128,0.087151001,0.992830871,5,5,4,5
35203275,882,2.665301913,2.913434855,2.581678597,0.987989337,5,5,5,5
35203276,576,0.079598723,-0.089748231,-0.168446516,0.461130943,4,3,3,4
35203277,445,-0.137187852,-0.743387344,-0.415634479,-0.037353311,3,2,2,4
35203278,491,-0.254503974,0.150176857,-0.423141665,-0.232304598,3,4,2,3
35203279,648,-0.586794151,-0.621882638,0.284920799,-0.396745593,2,2,4,3
35203280,455,-0.539986335,-0.132470899,0.382994412,0.536534108,2,3,4,4
35203281,444,-0.654490683,0.928595393,-0.632138483,1.16527181,2,5,2,5
35203282,430,-0.417204341,-0.839141254,0.171301641,0.778798121,3,1,4,5
35203283,572,-0.990123297,0.625252828,-0.097861991,0.67771646,1,4,3,4
35203284,407,-0.437850361,0.015865963,0.253510198,0.121351648,3,4,4,4
35203285,505,-0.036226808,-0.304317452,-0.207110351,0.141447997,4,3,3,4
35203286,667,0.187600317,3.494371595,-1.081385063,1.988392805,4,5,1,5
35203287,425,-0.409244836,0.212456576,0.039521253,-0.242355793,3,4,3,3
35203288,1050,-0.874561436,-0.074342381,-0.381579642,0.749735388,1,3,2,4
35203289,695,0.383616842,0.086536253,0.077055521,1.120070775,4,4,4,5
35203290,572,1.519898642,1.677936548,-0.24301989,2.329099417,5,5,3,5
35203291,976,1.572087368,4.183017936,-0.717417531,2.269345398,5,5,2,5
35203292,360,-0.884655302,0.554922737,0.549340789,1.027364316,1,4,4,5
35203293,184,-0.246021037,0.260317869,0.345138565,1.564472589,3,4,4,5
35203294,619,-0.444512844,0.301129918,0.77934397,1.037194843,3,4,5,5
35203296,298,-0.819944191,0.532162884,1.916030916,-0.070148348,1,4,5,3
35203297,516,-0.671782756,0.360679718,0.054532788,1.098368928,2,4,3,5
35203298,517,-0.38488135,0.156416994,-0.278126027,0.936392082,3,4,3,5
35203299,469,-0.562382657,0.543987532,0.034545863,0.768972675,2,4,3,5
35203300,437,0.026419736,0.625924791,0.062584456,1.608790148,4,4,4,5
35203301,494,-0.336958354,0.065212011,-0.183285606,0.835170461,3,4,3,5
35203314,562,-0.394025746,-0.33872386,-0.089819932,0.349885416,3,3,3,4
35203315,393,0.446488639,-0.26867904,1.310244286,-0.156332714,4,3,5,3
35203316,425,-0.773344831,-1.172760728,-0.273376514,-0.093820265,2,1,3,3
35203317,528,-0.980523018,-1.023873376,-0.037444098,-0.241187594,1,1,3,3
35203318,645,-0.688257991,-0.347948448,-0.11476731,-0.376025802,2,3,3,3
35203321,377,-0.293208454,-0.276518299,0.767382024,-0.420196995,3,3,5,3
35203322,612,-0.430998361,-1.005792774,0.411252551,-0.372780536,3,1,4,3
35203323,418,-0.681644334,-0.196118597,0.242615236,-0.02708664,2,3,4,4
35203324,567,-0.180342381,2.495124129,-0.572825082,1.373142036,3,5,2,5
35203330,1061,1.313247182,4.180486124,-0.708147529,4.195568799,5,5,2,5
35203331,854,1.331708411,3.41424185,-1.044840163,2.086950634,5,5,1,5
35203332,439,-0.473057229,-0.059098276,-0.216728395,1.32137101,3,3,3,5
35203333,710,0.009914047,-0.166187802,0.66074373,0.656125044,4,3,5,4
35203334,447,-0.572849251,0.673247466,0.008155148,1.343126305,2,5,3,5
35203337,350,-0.588455311,1.07148937,-0.178683829,0.490809792,2,5,3,4
35203338,408,-0.695858843,1.076402328,0.718922206,1.356666675,2,5,5,5
35203339,413,-0.413842082,0.502185732,0.012779855,1.104890535,3,4,3,5
35203340,1838,0.936295851,4.021012058,-0.850532265,1.724621244,5,5,1,5
35203342,1399,1.343130611,0.473235701,3.058175704,-0.176199081,5,4,5,3
35203344,294,0.328616896,-0.091755817,0.519172931,-0.291980921,4,3,4,3
35203345,595,-1.393520516,1.999953558,0.036454695,1.546720767,1,5,3,5
35203346,433,-1.518507919,1.169032394,0.467656244,2.146495095,1,5,4,5
35203347,382,-0.892308138,0.554460961,0.050510541,1.82334261,1,4,3,5
35203348,883,0.549642979,2.802652772,-0.362450078,3.210803064,4,5,2,5
35203350,929,2.752164847,2.582159633,3.866209887,1.686647794,5,5,5,5
35203351,603,-0.514750015,0.705996561,0.018206829,2.188916789,2,5,3,5
35203352,444,0.431911848,2.31422532,-0.575297599,2.450468057,4,5,2,5
35203353,469,-0.562758507,0.90161821,-0.068857653,1.858756971,2,5,3,5
35203354,545,-0.364858256,0.346831638,-0.29310375,1.428697157,3,4,3,5
35203355,489,-0.886923828,0.249436086,0.134813488,1.644988921,1,4,4,5
35203356,517,-0.250747162,0.83713512,0.281903521,2.044914534,3,5,4,5
35203357,349,-1.034467892,0.23598005,0.398350764,0.629298321,1,4,4,4
35203358,468,-0.482161614,0.76277558,-0.278505504,0.991983142,2,5,3,5
35203359,461,0.010410744,0.156119177,-0.513828557,2.538658327,4,4,2,5
35203360,260,-0.315332257,-0.470938234,-0.213263198,1.109839042,3,2,3,5
35203361,524,-0.710918594,0.268133958,-0.165939921,1.177938716,2,4,3,5
35203362,314,-0.534597325,0.032055852,0.946375923,0.550675077,2,4,5,4
35203363,344,-0.784280732,0.905731125,1.024343516,0.474752421,1,5,5,4
35203370,621,-0.17734966,0.608467783,-0.869240239,2.241704232,3,4,1,5
35203371,1728,0.478027277,2.033722876,-0.937515611,3.755333011,4,5,1,5
35203372,1472,0.915565307,-0.274772574,-1.116099723,4.219985459,5,3,1,5
35203373,345,-0.7477071,0.24772442,-0.041546808,1.123731878,2,4,3,5
35203374,609,-0.665309471,0.564799304,0.625517653,1.022724234,2,4,5,5
35203375,308,-0.597812827,0.009647908,0.657030274,0.9136886,2,3,5,5
35203376,248,-0.623491134,0.457182982,0.68747455,1.527269046,2,4,5,5
35203377,555,-0.479197774,0.370874935,-0.253597162,1.302695207,2,4,3,5
35203378,642,-0.583574823,0.139851111,0.801560156,0.649069141,2,4,5,4
35203379,541,-0.327168975,0.721316454,0.998194229,1.228893267,3,5,5,5
35203380,480,-0.215820965,0.350082657,0.171705998,1.559264122,3,4,4,5
35203381,495,-0.603258676,0.495879846,0.059561474,0.823723131,2,4,4,5
35203382,446,-0.630752186,0.220519155,-0.02931473,0.45863856,2,4,3,4
35203383,389,-0.659474696,0.109686316,0.703132022,0.392245445,2,4,5,4
35203384,536,-0.396951762,-0.17952524,0.44493353,0.793631708,3,3,4,5
35203385,425,-0.593087561,-0.295717547,0.753833807,0.614709264,2,3,5,4
35203386,631,-0.609620669,0.220092958,0.51119986,0.243552055,2,4,4,4
35203387,543,-0.10624754,0.117541022,0.087434126,1.581761215,3,4,4,5
35203388,501,-0.369929157,1.313799916,0.374398186,0.69505678,3,5,4,4
35203389,454,-0.417070567,0.742554143,0.030939763,1.109023978,3,5,3,5
35203391,426,-0.205512427,0.813351119,0.208280629,0.930040662,3,5,4,5
35203392,251,-0.673971449,0.225024214,-0.898834335,1.49249625,2,4,1,5
35203393,936,-0.281399974,0.934635024,0.020585482,0.572416717,3,5,3,4
35203394,857,2.71759078,1.693325834,7.620365076,1.067035748,5,5,5,5
35203395,577,-0.613528838,0.648637193,-0.177710925,1.163082295,2,4,3,5
35203396,453,-0.644798264,1.092040047,0.148696919,1.042587912,2,5,4,5
35203399,535,-0.682671821,-0.278598865,-0.102924276,0.57439057,2,3,3,4
35203400,367,-0.655665661,-0.16877472,0.982348866,0.331724882,2,3,5,4
35203401,280,-0.596350559,0.572464029,0.56916221,0.76611948,2,4,4,5
35203402,382,1.181325905,0.324775731,-0.613649821,2.041038747,5,4,2,5
35203403,2382,0.374558794,0.117565659,-0.649487656,2.089205619,4,4,2,5
35203404,2170,-0.137897211,2.137295742,-0.174341814,2.982052018,3,5,3,5
35203405,1055,0.061864418,2.739214616,-0.641496763,3.543965292,4,5,2,5
35203406,1521,-0.011134558,2.45527709,-0.285612809,1.987725706,4,5,3,5
35203407,585,0.170163879,2.251563525,-0.168490864,1.660193578,4,5,3,5
35203408,1958,0.223976183,0.283190493,0.022796077,1.410315126,4,4,3,5
35203409,430,-0.325058475,0.13747509,0.163971652,1.068819436,3,4,4,5
35203410,415,-1.014853259,0.924408638,0.848059371,1.389168803,1,5,5,5
35203411,1441,0.076231985,0.910484062,-0.234020532,1.16517767,4,5,3,5
35203412,564,-0.420505422,0.239641061,-0.039464053,1.234159349,3,4,3,5
35203413,401,-0.693736297,-0.065118134,0.031995254,0.950250207,2,3,3,5
35203414,533,-0.686547964,0.157188846,-0.34985636,0.734242641,2,4,2,4
35203415,409,-0.176841247,-0.38257628,0.119533629,1.820567922,3,3,4,5
35203416,654,-0.067016563,0.63053582,0.057366597,1.860728102,4,4,4,5
35203417,560,-0.49033497,0.056483534,-0.113037561,0.6596726,2,4,3,4
35203418,624,-0.402393953,0.718888818,-0.070553146,1.667709772,3,5,3,5
35203419,626,0.12122715,0.608133136,1.515557645,0.578917569,4,4,5,4
35203420,729,-0.368479929,0.358095645,-0.070552219,0.788017249,3,4,3,5
35203421,740,0.318316077,0.455775427,-0.207598284,1.628243032,4,4,3,5
35203422,483,-0.367962866,0.036400568,-0.366784641,1.487013834,3,4,2,5
35203423,578,-0.311404576,0.070083654,-0.362775187,1.663491501,3,4,2,5
35203427,582,-0.315459778,0.763793717,-0.052440704,2.457524095,3,5,3,5
35203435,776,0.324090326,0.386621185,0.357801951,1.594838733,4,4,4,5
35203439,607,0.88799451,0.678432153,-0.445756021,1.510551122,5,5,2,5
35203440,602,-0.1112705,0.331316727,-0.407044348,1.64846977,3,4,2,5
35203441,483,-0.360083641,1.029433392,0.099567677,0.594708894,3,5,4,4
35203442,265,-0.119225816,1.256478456,-0.042780349,0.307647818,3,5,3,4
35203443,479,0.004626486,0.266608876,0.398505974,1.155256945,4,4,4,5
35203444,637,1.044577313,1.330162061,-0.179786026,0.540871076,5,5,3,4
35203445,593,-0.47240577,0.5626003,0.07380727,1.20312467,3,4,4,5
35203446,567,0.026916891,0.69955465,-0.247410215,1.193761972,4,5,3,5
35203447,651,-0.282836536,0.562757892,-0.201878738,1.048539762,3,4,3,5
35203448,961,1.407160564,5.120302863,-1.193281052,2.43531042,5,5,1,5
