TotalPop2016,Instability_DA16,Deprivation_DA16,Dependency_DA16,Ethniccon_DA16,Instability_q_DA16,Deprivation_q_DA16,Dependency_q_DA16,Ethniccon_q_DA16,PCODE3
29381,-0.2845358898184881,-0.10786971957966032,0.3397644472225928,-0.9502071115613833,2.8444913379394845,2.99969367958885,3.747591981212348,1.1886933732684388,K0B
65751,-0.3828497080534287,-0.16669914475197342,0.30482389254093467,-0.9140517439024802,2.522334261075877,2.8892336238232117,3.6431232985049657,1.3496981034508981,K0C
140144,-0.5701849153293899,-0.7090016748434467,-0.3108935942111969,-0.6676015134711648,2.097856490466948,1.8345273433040301,2.56364881835826,1.8504466834113484,K0A
61099,-0.39074150746198805,-0.10900663635542317,0.500289439334441,-0.9287927559706867,2.5568503576163275,3.0002618700797066,4.053012324260626,1.294194667670502,K0E
60946,-0.43719010478462905,-0.4457266157111048,0.4058915407773274,-0.9223679004635249,2.4491353001017293,2.3361828503921505,3.8422702064122336,1.299609490368523,K0G
14882,-0.4157633927875286,-0.6176193024985216,0.11754447964614974,-0.48107667632193263,2.31662410966268,1.9205079962370648,3.297607848407472,2.4655288267705955,K1E
42890,-0.34821192804835627,-0.6805683680726977,-0.10538422151573794,-0.0645865874712987,2.4122406155280953,1.8393564933550943,2.9841221730006993,3.2694101189088367,K1C
17503,0.11621507812614978,-0.019680245075187147,-0.17324998266291491,0.05274298620596468,3.3563389133291435,3.1902530994686624,2.757698680226247,3.3305147688967605,K1B
25696,0.29403598439130607,-0.09185813932366903,0.2602717639053159,0.2792322490556118,3.5003502490660026,2.9627179327521795,3.492255603985056,3.6455868617683684,K1J
30655,1.0646289933982709,1.1177316232652748,0.02734835016940139,0.4780345235490131,4.405969662371555,4.142064916000653,2.7118251508726146,3.933681291795792,K1K
17107,2.0535049635541593,0.7850968987286491,0.09087732104144505,-0.015806712440287574,4.9126673291635,4.165195533991933,2.936692581983983,3.2715847313965045,K1L
6562,0.7006792680374885,-1.0277731472816214,0.21707339755486135,-0.41836489598918014,3.9922279792746114,1.2621152087778116,3.351264858274916,2.701767753733618,K1M
21325,1.2577258927060255,-0.19221759113144202,0.1497610153898242,-0.18051383649692845,4.0931301289566235,2.70926143024619,2.872403282532239,2.8949589683470105,K1A
25148,2.1466946675054084,0.15595584546767136,-0.21772161917679342,0.264213493621958,4.61440273580404,2.742683314776523,2.360704628598696,3.4597979958644824,K1N
28759,0.8381287451211796,-0.8133270757100736,-0.4408295063374596,-0.12676216374985222,4.032894050558086,1.6828818804548142,2.0915539483292185,3.0522966723460483,K1S
16997,2.3884150684700827,-0.3683106799385185,-0.4645617028978643,-0.00717029269559331,5.0,2.3949520503618285,1.9584632582220391,3.3045831617344237,K1R
3795,2.1317325311006585,-1.0707945604840579,-0.3010509433891963,-0.23820752782740448,4.763636363636364,1.4727272727272727,2.2982872200263507,2.903820816864295,K1P
19950,0.951711112086867,-0.7662611011077195,-0.4192907322950877,-0.4251344503505264,4.024912280701755,1.7603508771929826,2.1870175438596493,2.5827568922305764,K1Y
