PCODE3,Instability_q_DA16,Deprivation_q_DA16,Dependency_q_DA16,Ethniccon_q_DA16,2016_weightedAverage_q_within_2SD.in1SD_Instability_q_DA16,2016_weightedAverage_q_within_2SD.in1SD_Deprivation_q_DA16,2016_weightedAverage_q_within_2SD.in1SD_Dependency_q_DA16,2016_weightedAverage_q_within_2SD.in1SD_Ethniccon_q_DA16
K7R,2.937809373,3.061242759,4.05745129,1.517008952,1,1,0.916666667,0.888888889
K7S,3.105660377,2.648427673,4.018010292,1.623899371,1,1,0.96,1
K7V,3.262626823,3.427953651,4.390419693,1.21516882,1,1,1,0.965517241
K8A,3.210449652,3.160766308,3.567479417,1.406459785,1,1,0.94,0.96
K8B,2.379228487,2.067655786,4.378041543,1.310385757,1,1,1,1
K8H,3.146827513,1.626899493,1.375166622,2.313649693,1,0.941176471,0.882352941,0.941176471
K8N,3.157779364,2.94089009,3.755454731,2.066144984,1,1,0.967741935,0.935483871
K8P,4.273893805,4.198141593,3.893141593,2.561681416,0.947368421,0.868421053,0.921052632,1
K8R,2.31212485,1.6242497,4.62484994,1.68787515,1,1,1,1
K8V,3.128693268,3.413889735,3.524398416,2.038379531,1,0.98245614,0.947368421,0.947368421
K9A,3.301559382,2.614146061,4.168622941,1.68484254,1,1,0.981481481,1
K9H,4.140041593,3.913805791,3.912078068,2.465429531,0.959183673,0.959183673,0.93877551,1
K9J,3.50249598,3.330072367,3.715374564,2.313974136,1,1,0.927835052,0.979381443
K9K,2.768288557,1.895377952,3.777086012,2.846382892,1,0.944444444,1,0.888888889
K9L,2.829671437,2.943055836,3.515823423,2.54273332,1,1,1,1
K9V,3.258239027,3.349562827,4.354972658,1.86314589,1,1,0.942307692,0.961538462
L0A,2.085999747,2.257282577,3.225749336,1.821044644,0.95,1,0.975,0.925
L0B,2.156683975,2.220595339,3.073904118,1.886094675,0.93220339,0.949152542,1,0.966101695
L0C,2.090076787,2.13920063,2.897420752,1.80616263,1,1,1,1
L0E,2.83479021,2.923951049,2.905918156,1.963804714,0.981132075,0.924528302,1,0.962264151
L0G,2.076659395,2.022402271,2.632838198,2.397614349,0.895833333,0.895833333,0.9375,0.947916667
L0H,1.293464919,2.501743016,1.917562724,4.559336181,0.769230769,1,0.923076923,0.923076923
L0J,1.524169252,2.114483565,1.463644948,3.804982238,0.909090909,1,0.909090909,0.909090909
L0K,2.776666898,3.051999584,3.800700028,1.26758733,0.920792079,1,0.97029703,0.98019802
L0L,2.29298653,2.188666976,2.860226041,2.046431336,1,0.970588235,1,0.950980392
L0M,2.463597409,2.420728247,2.618012483,1.918233579,0.939759036,0.963855422,1,0.963855422
L0N,2.201556114,2.175752204,2.528093761,2.046190969,0.941176471,1,0.970588235,0.970588235
L0P,1.779728988,1.51243193,2.610663177,2.38781713,1,0.948717949,0.974358974,1
L0R,1.929641077,1.876444725,2.470006312,2.421783514,0.915254237,0.898305085,0.93220339,0.983050847
L0S,2.564030147,2.187877826,3.878175327,1.802887743,1,0.936170213,0.978723404,0.978723404
L1A,3.05681298,2.715477341,3.914399064,1.488327145,1,1,0.945945946,0.945945946
L1B,2.464053203,2.090374519,3.278893945,2.333846692,1,1,1,1
L1C,2.354152056,2.447258184,2.082586197,2.72136399,0.918918919,0.878378378,0.864864865,1
L1E,1.969423403,1.967209713,1.992528795,2.941475563,0.947368421,0.947368421,0.868421053,0.894736842
L1G,3.879043164,3.812867182,3.476622254,2.616290155,1,0.973333333,1,0.986666667
L1H,3.267425371,3.461092463,2.815864582,3.042057836,1,1,1,1
L1J,3.736818397,4.13678236,2.991148449,2.830649339,0.952380952,0.976190476,1,0.976190476
L1K,1.856422879,2.510947023,2.069432724,3.756188467,0.941176471,0.901960784,0.980392157,0.960784314
L1L,2.552529183,1.445102352,1.346472678,4.781424463,1,0.833333333,0.833333333,0.833333333
L1M,1.187794929,1.375509878,1.391066144,3.811285292,0.935483871,0.935483871,0.935483871,0.903225806
L1N,2.931066071,2.621550441,2.871998931,3.190656132,1,1,1,0.920454545
L1P,1.864772784,2.545067388,1.650383286,4.140989028,0.913043478,0.956521739,0.956521739,0.913043478
L1R,1.610759717,2.125537868,1.583860425,4.221778081,0.912280702,0.98245614,0.929824561,0.912280702
L1S,2.754826873,3.049623451,2.220596079,3.784438803,1,1,1,0.97260274
L1T,1.427092069,2.787331552,1.482965072,4.71928935,0.95,1,0.9625,0.975
L1V,2.186138085,2.574999166,2.067507592,4.182700971,0.928571429,0.928571429,0.94047619,0.952380952
L1W,3.061813913,2.750748459,3.119812151,3.418080423,1,0.965517241,0.931034483,1
L1X,1.689300143,2.255397715,1.527694513,4.551674704,0.964285714,1,0.964285714,0.928571429
L1Y,2.965753425,2.076276463,2.971980075,2.832503113,1,1,1,1
L1Z,1.335357803,2.431674148,1.027000264,4.817566675,0.952380952,1,0.904761905,1
L2A,3.320730466,3.806297863,4.475124511,1.984308895,0.96875,0.96875,0.875,0.9375
L2E,3.454293231,3.238005262,3.42068883,2.892465917,0.984126984,1,1,1
L2G,3.784769891,4.087681331,3.573090319,2.695127312,1,0.981818182,0.963636364,0.963636364
L2H,2.652276759,2.49319929,2.792463368,3.335600237,0.941176471,0.911764706,1,0.911764706
L2J,3.180003826,3.132308869,4.300133903,2.275457502,0.964285714,0.964285714,1,1
L2M,3.518734879,3.512804626,3.992830589,2.497787219,1,1,0.967741935,0.983870968
L2N,3.516629297,2.788926258,4.371543348,2.317607125,0.888888889,1,0.944444444,1
L2P,3.844103085,4.144026914,3.122445093,2.942617748,0.96,1,1,1
L2R,3.740322466,3.240594739,3.003219926,2.658616853,0.913043478,1,1,0.985507246
L2S,3.149980465,3.208536824,2.837126392,3.152617699,1,1,1,0.9375
L2T,3.809710551,3.192623716,4.078244631,3.055555556,0.947368421,1,0.947368421,0.947368421
L2V,3.430919116,3.389700765,2.988169798,2.746962154,1,1,1,0.967741935
L2W,2.791717791,2.549386503,2.634969325,3.541104294,1,1,1,1
L3B,3.338293409,3.456335073,3.994023516,2.109991706,1,1,0.909090909,0.954545455
L3C,3.284934636,3.207450184,3.906936159,2.416106105,0.980392157,1,1,1
L3K,3.265188834,3.58456486,4.466676326,1.425432242,1,1,0.945945946,0.891891892
L3M,2.490590906,1.871677528,3.126565131,2.286483122,0.948717949,0.923076923,1,0.974358974
L3P,1.725315108,2.211857907,2.597176907,4.593433389,0.933333333,1,0.84,0.813333333
L3R,2.469321123,2.820895717,3.278158617,4.883879444,0.926829268,1,0.951219512,0.987804878
L3S,1.129716134,3.894610133,2.776122889,5,0.981818182,0.945454545,0.945454545,1
L3T,3.182541218,2.102117037,3.532490905,4.489995356,1,0.985294118,0.985294118,0.941176471
L3V,3.635657251,3.518910449,3.747359835,1.962372285,0.977272727,1,0.965909091,0.943181818
L3X,1.748153465,1.955775776,1.273912339,4.349510292,0.967741935,0.967741935,0.935483871,0.838709677
L3Y,2.705771828,2.426266808,2.315189948,3.52834537,1,0.860465116,1,0.953488372
L3Z,2.099387237,2.50981916,1.701927963,3.628545808,0.914285714,0.914285714,0.942857143,0.914285714
L4A,2.018722682,1.519364168,2.168808576,3.87074608,0.931818182,0.954545455,0.840909091,0.931818182
L4B,2.545824302,2.053223087,3.023868775,4.964865805,1,0.963636364,1,0.927272727
L4C,3.097817611,2.480608916,2.892066735,4.670587718,1,1,1,0.9453125
L4E,1.318214832,1.622897554,1.220279052,4.737079511,0.85,0.95,0.9,0.95
L4G,2.356086121,1.714676165,1.857487965,3.836151717,1,0.952380952,0.904761905,0.873015873
L4H,1.144245482,2.408075211,1.300897399,4.499166012,0.962264151,1,0.943396226,0.962264151
L4J,2.173883849,1.665002787,2.696561597,4.454669842,0.948453608,0.989690722,1,0.958762887
L4K,2.079668793,2.376021036,2.315206445,4.564674947,1,1,1,1
L4L,1.592799204,2.316386736,2.687694117,3.902803325,0.91011236,0.943820225,1,0.865168539
L4M,3.047673294,2.867185793,2.230283075,2.840126713,1,1,0.871287129,1
L4N,2.738497888,2.923861882,1.941805734,3.193587096,1,1,0.90960452,0.937853107
L4P,2.720897484,3.157372637,1.958755789,2.689823507,0.975609756,1,0.975609756,1
L4R,3.478607099,3.633733747,3.942772304,1.830656409,0.976744186,0.953488372,0.930232558,1
L4S,1.642741357,2.043687385,2.067391247,4.938428423,0.913043478,0.956521739,0.913043478,0.956521739
L4T,3.346659735,4.660670652,2.618429945,4.991551859,0.951612903,0.967741935,0.967741935,0.983870968
L4V,4,5,2,5,1,1,1,1
L4W,2.873701984,2.719164204,3.431532292,3.789953567,1,1,1,1
L4X,3.952470231,3.960324297,2.536306055,4.472865467,0.916666667,0.875,1,0.833333333
L4Y,3.261841499,3.458886881,3.160520069,3.835334963,1,1,1,0.975609756
L4Z,2.863300718,2.880469667,1.947136334,4.787919113,1,1,1,0.977272727
L5A,3.763720606,3.688828751,2.955040285,4.495868955,1,0.966101695,1,0.93220339
L5B,4.01470791,2.877663894,2.517335417,4.8227084,1,1,1,0.962962963
L5C,2.880807606,3.233244868,2.935230289,4.607753553,1,1,0.913043478,0.97826087
L5E,3.474917669,2.828214751,2.957417477,2.898981389,1,1,1,0.952380952
L5G,3.562442818,2.729963403,2.717200366,3.349542543,1,1,0.918918919,0.945945946
L5H,2.169511568,1.527712082,2.325758355,3.748637532,1,0.935483871,1,0.967741935
L5J,3.106916942,2.776987074,2.52684956,3.673920517,1,1,0.918367347,0.918367347
L5K,2.932947854,3.367036231,2.593973794,4.192244443,1,1,1,0.962962963
L5L,2.676078977,2.572188796,2.799648124,4.324398879,1,1,0.928571429,0.971428571
L5M,2.171965422,2.483235677,1.884648076,4.899052373,0.912280702,0.964912281,0.956140351,0.964912281
L5N,1.954338592,2.291145444,1.518518951,4.483371453,0.948717949,0.982905983,0.923076923,0.905982906
L5R,2.623088766,2.87181461,2.534296029,5,1,0.930232558,0.953488372,1
L5S,1.732911392,2.732911392,1.244303797,5,1,1,1,1
L5T,2.710928544,3.682078716,1.570309515,5,1,1,1,1
L5V,1.751253725,2.763954503,1.716185769,4.98780798,0.915492958,0.943661972,0.929577465,0.971830986
L5W,1.017637245,2.400651466,1.238301422,4.926908715,0.962962963,0.925925926,1,0.925925926
L6A,1.42799871,2.189530436,1.509435049,4.444046357,0.921568627,1,0.941176471,0.980392157
L6B,1.398324427,2.47340297,1.5483204,4.981525738,0.875,1,0.875,0.875
L6C,2.076592357,2.029759377,2.01861288,4.99056971,0.9375,0.958333333,0.916666667,0.958333333
L6E,1.420502721,2.175679002,1.780558519,4.929378299,0.894736842,1,0.894736842,0.947368421
L6G,5,2.296296296,2,5,1,1,1,1
L6H,2.362755132,1.81200655,1.858632084,4.241256799,0.929292929,0.919191919,0.98989899,0.98989899
L6J,1.845135376,1.450498364,2.634111871,4.107036596,0.901960784,0.960784314,1,0.960784314
L6K,4.108871572,2.984040162,3.287876517,3.72688446,1,1,1,0.958333333
L6L,2.509132496,1.598369079,2.888852057,3.364736301,1,0.934782609,1,0.97826087
L6M,1.816559012,1.524669018,1.390398094,4.632308702,0.929577465,0.943661972,0.943661972,0.957746479
L6P,1.064726279,3.06151565,1.5306761,4.97550582,0.95,0.975,0.9,0.925
