TotalPop2016,Instability_DA16,Deprivation_DA16,Dependency_DA16,Ethniccon_DA16,Instability_q_DA16,Deprivation_q_DA16,Dependency_q_DA16,Ethniccon_q_DA16,PCODE3,2016_standard_derivation.SD_Instability_DA16,2016_standard_derivation.SD_Deprivation_DA16,2016_standard_derivation.SD_Dependency_DA16,2016_standard_derivation.SD_Ethniccon_DA16,2016_standard_derivation.SD_Instability_q_DA16,2016_standard_derivation.SD_Deprivation_q_DA16,2016_standard_derivation.SD_Dependency_q_DA16,2016_standard_derivation.SD_Ethniccon_q_DA16,2016_standard_derivation.PCODE3,2016_standard_derivation.count
32830,0.01161655,0.212709073,0.245496372,-0.675463197,3.128693268,3.413889735,3.524398416,2.038379531,K8V,0.827617149,0.874892502,0.997831108,0.299883835,1.340051995,1.196800245,1.165233635,0.84218358,K8V,57
29563,0.011337121,-0.192498935,0.939249518,-0.773968488,3.301559382,2.614146061,4.168622941,1.68484254,K9A,0.783514557,0.942020892,1.361006309,0.292353406,1.276569477,1.326502418,1.130233769,0.681183662,K9A,54
31255,0.823127335,0.498531923,0.567853071,-0.45197022,4.140041593,3.913805791,3.912078068,2.465429531,K9H,1.082322527,0.865897493,1.090791124,0.311950067,0.810748374,1.099242163,1.290665071,0.858629663,K9H,49
59696,0.332315489,0.248380045,0.389173924,-0.51127134,3.50249598,3.330072367,3.715374564,2.313974136,K9J,1.028767923,1.132016077,0.88696087,0.4136444,1.258817697,1.449908162,1.241984611,1.025868168,K9J,97
14777,-0.272497666,-0.636004419,0.379753315,-0.330035114,2.768288557,1.895377952,3.777086012,2.846382892,K9K,0.457664484,0.386187187,0.582429549,0.310508838,1.215369978,0.963381843,0.985184366,0.907485213,K9K,18
9922,-0.278967103,-0.196877243,0.075576707,-0.376112247,2.829671437,2.943055836,3.515823423,2.54273332,K9L,0.411317661,0.567996745,0.574746955,0.304908295,0.987096234,1.165750556,1.126601424,1.050030525,K9L,13
34197,0.037965681,0.169821034,0.887423421,-0.71685445,3.258239027,3.349562827,4.354972658,1.86314589,K9V,0.757492626,0.91811631,1.019900081,0.303872696,1.186271393,1.159100655,0.919046,0.836569884,K9V,52
23721,-0.616623441,-0.507263077,-0.023642623,-0.744422648,2.085999747,2.257282577,3.225749336,1.821044644,L0A,0.229503271,0.368722699,0.325380243,0.192804329,0.708917557,0.960435265,0.80860754,0.576794858,L0A,40
33124,-0.552209159,-0.526757735,-0.040895603,-0.67256488,2.156683975,2.220595339,3.073904118,1.886094675,L0B,0.373596588,0.374499202,0.543203913,0.272685596,0.899379616,0.851992542,1.067833718,0.773237329,L0B,59
20316,-0.61545,-0.574834049,-0.051893241,-0.69855884,2.090076787,2.13920063,2.897420752,1.80616263,L0C,0.219126669,0.398585064,0.654460346,0.236770636,0.712130694,0.931236504,1.05338771,0.726994153,L0C,34
30888,-0.339497041,-0.20957413,-0.098209522,-0.675344811,2.83479021,2.923951049,2.905918156,1.963804714,L0E,0.371425227,0.542103007,0.723746167,0.259928265,0.927330548,1.026852816,1.09657072,0.753800241,L0E,53
57762,-0.578618945,-0.599403296,-0.235685705,-0.503081467,2.076659395,2.022402271,2.632838198,2.397614349,L0G,0.330591768,0.38751298,0.984427237,0.288068773,0.947237442,0.909019136,1.138972683,0.79361487,L0G,96
20367,-1.0287294,-0.467211097,-0.650885168,1.341411144,1.293464919,2.501743016,1.917562724,4.559336181,L0H,0.518856838,0.25726962,0.498649887,0.976938563,1.165750556,0.751067616,1.126601424,1.300887271,L0H,13
22239,-0.926570059,-0.67032504,-0.844133531,0.27746846,1.524169252,2.114483565,1.463644948,3.804982238,L0J,0.303615309,0.323924233,0.448702934,0.525856645,0.687551651,0.873862898,1.044465936,1.136181804,L0J,11
57712,-0.332979099,-0.117832044,0.518534869,-0.92439758,2.776666898,3.051999584,3.800700028,1.26758733,L0K,0.347257551,0.646385476,0.90074698,0.20649829,0.832507842,1.118078266,1.112574394,0.496721928,L0K,101
64590,-0.533862576,-0.539446404,0.057610358,-0.646406541,2.29298653,2.188666976,2.860226041,2.046431336,L0L,0.348041862,0.534193973,1.201567662,0.321217533,0.940266013,1.109427314,1.222682476,0.873252755,L0L,102
51109,-0.455779331,-0.376236511,-0.241629617,-0.663599842,2.463597409,2.420728247,2.618012483,1.918233579,L0M,0.503465975,0.49053367,0.880912194,0.360603515,1.119380207,1.118592373,1.235435277,0.866322257,L0M,83
20307,-0.547976138,-0.551043186,-0.296866292,-0.627879439,2.201556114,2.175752204,2.528093761,2.046190969,L0N,0.267147593,0.407550144,0.408762558,0.227237747,0.769864678,0.999108337,0.894128201,0.778498944,L0N,34
23689,-0.714830716,-0.798864456,-0.318829324,-0.470523008,1.779728988,1.51243193,2.610663177,2.38781713,L0P,0.237598669,0.368469871,0.456313287,0.36735575,0.695076186,0.893068223,0.930804362,0.99864956,L0P,39
91886,-0.637898978,-0.674111422,-0.07063674,-0.431562325,1.929641077,1.876444725,2.470006312,2.421783514,L0R,0.38563197,0.417928569,1.206587127,0.376936482,0.986986159,1.016024013,1.122414617,0.917935,L0R,118
63025,-0.385751791,-0.506636687,0.428390742,-0.711528872,2.564030147,2.187877826,3.878175327,1.802887743,L0S,0.424582322,0.530952095,0.844979907,0.294040484,1.000628949,1.167703889,1.007862025,0.790080923,L0S,94
19661,-0.061482872,-0.175673202,0.580807343,-0.840501892,3.05681298,2.715477341,3.914399064,1.488327145,L1A,0.75651514,0.645692166,0.868228316,0.239137686,1.23572935,1.142937578,1.133704232,0.605282055,L1A,37
14285,-0.501320046,-0.55554469,0.715837654,-0.581331,2.464053203,2.090374519,3.278893945,2.333846692,L1B,0.346892745,0.428067309,2.441891749,0.328251991,1.09307145,1.002162165,1.332250643,0.921132373,L1B,22
52757,-0.420723969,-0.360329754,-0.426282525,-0.368677793,2.354152056,2.447258184,2.082586197,2.72136399,L1C,0.639537933,0.6086112,1.210493292,0.343375352,1.241110561,1.238422878,1.426205265,0.923689622,L1C,74
28911,-0.634243395,-0.582182641,-0.413741831,-0.271687465,1.969423403,1.967209713,1.992528795,2.941475563,L1E,0.365656243,0.44581829,1.533844767,0.353888613,0.969301196,0.916111518,1.461696826,0.890921495,L1E,38
45107,0.559184919,0.626041036,0.426076156,-0.358263093,3.879043164,3.812867182,3.476622254,2.616290155,L1G,0.967468672,1.014763908,1.294554534,0.498327561,0.958602587,1.0946224,1.41586888,1.080206854,L1G,75
55709,0.085234551,0.415049217,-0.145739877,-0.111183961,3.267425371,3.461092463,2.815864582,3.042057836,L1H,0.890301149,1.203502801,0.817367226,0.585755226,1.147676073,1.342325821,1.307536885,1.113915143,L1H,89
44399,0.359514458,1.048910299,-0.02315069,-0.266731989,3.736818397,4.13678236,2.991148449,2.830649339,L1J,0.851285445,1.28013408,0.780188501,0.432658957,1.119123909,1.130282587,1.29670353,1.029401399,L1J,84
42660,-0.666991244,-0.307279579,-0.635646347,0.263959669,1.856422879,2.510947023,2.069432724,3.756188467,L1K,0.464759094,0.687828955,0.637724855,0.561117055,0.999215378,1.180561515,1.230335519,0.984985319,L1K,51
