PCODE3,in1SD_Instability_DA16,in1SD_Deprivation_DA16,in1SD_Dependency_DA16,in1SD_Ethniccon_DA16,in1SD_Instability_q_DA16,in1SD_Deprivation_q_DA16,in1SD_Dependency_q_DA16,in1SD_Ethniccon_q_DA16
L7A,0.573333333,0.693333333,0.693333333,0.813333333,0.92,0.573333333,0.8,0.88
L5V,0.802816901,0.802816901,0.732394366,0.676056338,0.887323944,0.676056338,0.76056338,0.971830986
L6Y,0.802197802,0.769230769,0.868131868,0.703296703,0.527472527,0.67032967,0.846153846,0.791208791
L4Z,0.477272727,0.818181818,0.909090909,0.568181818,0.477272727,0.75,0.704545455,0.613636364
L4A,0.886363636,0.75,0.840909091,0.431818182,0.818181818,0.863636364,0.681818182,0.636363636
L6V,0.830769231,0.723076923,0.861538462,0.676923077,0.815384615,0.430769231,0.876923077,0.938461538
K8N,0.774193548,0.822580645,0.85483871,0.709677419,0.661290323,0.580645161,0.483870968,0.483870968
K9K,0.5,0.611111111,0.666666667,0.555555556,0.388888889,0.722222222,0.611111111,0.722222222
K7G,0.88,0.72,0.68,0.76,0.68,0.68,0.76,0.72
K9J,0.773195876,0.721649485,0.804123711,0.762886598,0.443298969,0.536082474,0.494845361,0.618556701
L4B,0.490909091,0.690909091,0.545454545,0.690909091,0.163636364,0.472727273,0.872727273,0.927272727
L6T,0.770833333,0.854166667,0.708333333,0.583333333,0.708333333,0.4375,0.75,0.708333333
L1E,0.868421053,0.789473684,0.973684211,0.631578947,0.368421053,0.447368421,0.789473684,0.473684211
K0K,0.807017544,0.789473684,0.723684211,0.679824561,0.710526316,0.811403509,0.912280702,0.960526316
K0L,0.784810127,0.708860759,0.620253165,0.689873418,0.734177215,0.708860759,0.841772152,0.664556962
K0M,0.771084337,0.698795181,0.65060241,0.65060241,0.542168675,0.638554217,0.795180723,0.807228916
L4W,0.666666667,0.805555556,0.861111111,0.75,0.638888889,0.666666667,0.444444444,0.694444444
L4S,0.913043478,0.826086957,0.913043478,0.695652174,0.826086957,0.52173913,0.913043478,0.826086957
L3T,0.470588235,0.661764706,0.705882353,0.705882353,0.558823529,0.470588235,0.544117647,0.941176471
L4N,0.779661017,0.745762712,0.915254237,0.655367232,0.700564972,0.711864407,0.853107345,0.745762712
L6C,0.5625,0.9375,0.6875,0.6875,0.166666667,0.895833333,0.458333333,0.958333333
L4J,0.690721649,0.701030928,0.773195876,0.628865979,0.278350515,0.824742268,0.525773196,0.958762887
L6E,0.842105263,0.684210526,0.894736842,0.842105263,0.842105263,0.526315789,0.842105263,0.947368421
L4T,0.596774194,0.677419355,0.693548387,0.758064516,0.629032258,0.629032258,0.661290323,0.983870968
L1N,0.761363636,0.761363636,0.727272727,0.659090909,0.590909091,0.454545455,0.647727273,0.647727273
L5W,0.703703704,0.703703704,0.592592593,0.703703704,0.962962963,0.814814815,0.740740741,0.925925926
L5C,0.717391304,0.717391304,0.630434783,0.586956522,0.608695652,0.760869565,0.652173913,0.608695652
L4L,0.898876404,0.797752809,0.528089888,0.595505618,0.820224719,0.584269663,0.471910112,0.449438202
L1K,0.764705882,0.823529412,0.607843137,0.607843137,0.647058824,0.607843137,0.784313725,0.725490196
L5M,0.798245614,0.798245614,0.745614035,0.649122807,0.833333333,0.649122807,0.842105263,0.850877193
L4K,0.666666667,0.733333333,0.6,0.6,0.866666667,0.666666667,0.466666667,0.333333333
L3S,0.709090909,0.672727273,0.618181818,0.727272727,0.836363636,0.418181818,0.618181818,1
K8V,0.736842105,0.614035088,0.789473684,0.736842105,0.666666667,0.456140351,0.561403509,0.456140351
L0G,0.760416667,0.666666667,0.90625,0.739583333,0.614583333,0.479166667,0.5625,0.770833333
K9A,0.685185185,0.796296296,0.796296296,0.796296296,0.481481481,0.537037037,0.722222222,0.407407407
K9H,0.693877551,0.714285714,0.714285714,0.714285714,0.408163265,0.897959184,0.795918367,0.755102041
L5B,0.37037037,0.759259259,0.685185185,0.5,0.518518519,0.740740741,0.481481481,0.666666667
K9V,0.711538462,0.865384615,0.769230769,0.769230769,0.538461538,0.461538462,0.807692308,0.423076923
L0B,0.86440678,0.694915254,0.813559322,0.762711864,0.694915254,0.745762712,0.627118644,0.457627119
L0C,0.705882353,0.705882353,0.823529412,0.735294118,0.5,0.676470588,0.676470588,0.382352941
L1V,0.845238095,0.714285714,0.94047619,0.726190476,0.857142857,0.583333333,0.869047619,0.571428571
L4E,0.8,0.75,0.8,0.7,0.8,0.85,0.8,0.55
L0K,0.782178218,0.762376238,0.722772277,0.633663366,0.792079208,0.811881188,0.544554455,0.732673267
L3X,0.774193548,0.967741935,0.677419355,0.580645161,0.741935484,0.870967742,0.741935484,0.612903226
L0L,0.735294118,0.754901961,0.892156863,0.725490196,0.676470588,0.549019608,0.745098039,0.382352941
L7G,0.75,0.75,0.625,0.6125,0.775,0.7125,0.7625,0.5875
L0M,0.807228916,0.698795181,0.771084337,0.771084337,0.626506024,0.578313253,0.626506024,0.409638554
L6S,0.777777778,0.765432099,0.703703704,0.654320988,0.604938272,0.666666667,0.580246914,0.925925926
L1C,0.810810811,0.716216216,0.878378378,0.635135135,0.527027027,0.567567568,0.756756757,0.702702703
L6X,0.833333333,0.763888889,0.722222222,0.583333333,0.833333333,0.722222222,0.722222222,0.666666667
L1A,0.783783784,0.810810811,0.702702703,0.702702703,0.756756757,0.594594595,0.864864865,0.945945946
L5H,0.806451613,0.709677419,0.806451613,0.774193548,0.741935484,0.806451613,0.741935484,0.677419355
L1B,0.590909091,0.681818182,0.909090909,0.590909091,0.545454545,0.636363636,0.636363636,0.636363636
L5J,0.693877551,0.714285714,0.836734694,0.734693878,0.714285714,0.714285714,0.530612245,0.836734694
L1G,0.693333333,0.706666667,0.826666667,0.666666667,0.626666667,0.56,0.373333333,0.573333333
L2N,0.666666667,0.648148148,0.740740741,0.703703704,0.574074074,0.611111111,0.833333333,0.555555556
L1H,0.775280899,0.719101124,0.820224719,0.696629213,0.606741573,0.404494382,0.685393258,0.786516854
L1J,0.69047619,0.714285714,0.738095238,0.714285714,0.583333333,0.726190476,0.702380952,0.630952381
L1R,0.824561404,0.736842105,0.859649123,0.701754386,0.842105263,0.561403509,0.842105263,0.666666667
L3R,0.487804878,0.707317073,0.902439024,0.695121951,0.37804878,0.682926829,0.719512195,0.865853659
L1S,0.726027397,0.808219178,0.849315068,0.547945205,0.657534247,0.753424658,0.753424658,0.479452055
L6H,0.787878788,0.838383838,0.707070707,0.656565657,0.383838384,0.767676768,0.747474747,0.535353535
L1T,0.8125,0.7,0.8125,0.6625,0.95,0.5875,0.9,0.7
L1W,0.75862069,0.620689655,0.724137931,0.620689655,0.862068966,0.586206897,0.517241379,0.75862069
L1X,0.642857143,0.642857143,0.607142857,0.714285714,0.464285714,0.571428571,0.857142857,0.928571429
L1Y,0.714285714,0.571428571,0.714285714,0.571428571,0.571428571,0.714285714,0.428571429,0.714285714
L1Z,0.666666667,0.714285714,0.761904762,0.666666667,0.666666667,0.666666667,0.904761905,0.714285714
L2A,0.75,0.65625,0.6875,0.78125,0.53125,0.5625,0.875,0.40625
L2E,0.761904762,0.714285714,0.936507937,0.619047619,0.555555556,0.507936508,0.412698413,0.714285714
L6P,0.925,0.575,0.85,0.75,0.9,0.375,0.8,0.925
L2G,0.654545455,0.672727273,0.672727273,0.690909091,0.6,0.763636364,0.581818182,0.636363636
L5A,0.338983051,0.677966102,0.661016949,0.457627119,0.525423729,0.644067797,0.661016949,0.745762712
L2H,0.882352941,0.823529412,0.970588235,0.705882353,0.647058824,0.617647059,0.588235294,0.558823529
L2M,0.629032258,0.596774194,0.806451613,0.725806452,0.451612903,0.451612903,0.887096774,0.564516129
L2R,0.695652174,0.68115942,0.797101449,0.724637681,0.811594203,0.52173913,0.739130435,0.608695652
L7E,0.740740741,0.759259259,0.703703704,0.722222222,0.833333333,0.611111111,0.685185185,0.574074074
L4M,0.772277228,0.742574257,0.811881188,0.683168317,0.702970297,0.663366337,0.801980198,0.623762376
L5N,0.786324786,0.760683761,0.752136752,0.641025641,0.897435897,0.675213675,0.837606838,0.905982906
L6A,0.862745098,0.647058824,0.823529412,0.490196078,0.901960784,0.666666667,0.62745098,0.725490196
L6Z,0.727272727,0.672727273,0.727272727,0.6,0.818181818,0.745454545,0.727272727,0.854545455
L3V,0.693181818,0.681818182,0.738636364,0.727272727,0.647727273,0.363636364,0.5,0.375
