"PCODE3","instability_DA06","deprivation_DA06","dependency_DA06","ethniccon_DA06","DAPop_2006","instability_q_DA06","deprivation_q_DA06","dependency_q_DA06","Ethniccon_q_DA06"
"K0A","-0.684366231517611758321068882925","-0.710973212993293005737454188671","-0.394744595573274002633249646495","-0.510584519270658379434680980002","69306","1","2","1","1"
"K0B","-0.314725888256227423097345132743","0.029608942811685696140960809102","0.257393271914574907414664981037","-0.724427482208809159608091024020","15820","2","3","2","1"
"K0C","-0.414813957436761136642621404998","-0.158017882681941525345120226308","0.367288557340812874031117397454","-0.671784332918595528168552569543","42420","2","2","2","1"
"K0E","-0.442890119917032850847119129248","-0.165188948235749247281563092900","0.338303191862581393209732716440","-0.647943392144981668182272076690","30043","2","2","2","1"
"K0G","-0.454489627227751553710968775020","-0.465226043252828956613290632506","0.104434463726434490484387510008","-0.616237056745164365492393915132","24980","2","2","2","1"
"K0H","-0.559916774367640111046068477697","-0.258000870658469639202414707765","0.297799366722598830723497667612","-0.681638442028884121650050306412","32799","1","2","2","1"
"K0J","-0.317291800617803375251509054326","0.097743854887940778342052313883","0.718211455453000676540040241449","-0.748978516409213389899396378270","24850","2","3","2","1"
"K0K","-0.437880122287487745762899127168","-0.135154891510264138137222406364","0.457981192130212857063197436747","-0.629725087651808224605016020329","90510","2","2","2","1"
"K0L","-0.301547984048415867188175331295","0.034035075954129645841182466871","0.793978420874289602766564729867","-0.700163654588115845810397553517","49050","2","3","2","1"
"K0M","-0.336258198655599483502775975196","-0.174505773168712017469416204004","0.895749712189928923943086499868","-0.788195665355873410243468647103","41607","2","2","2","1"
"K1B","-0.082660942539604641157637196028","-0.217269415816029249741363933646","-0.488035120152227874210119507700","0.296607822769520951507223972888","16819","2","2","1","2"
"K1C","-0.548443451102719615735313273414","-0.861127589256588744835222091963","-0.648442918663854913716295427902","-0.048912850742395739736615865572","38385","1","1","1","2"
"K1E","-0.627401183108084740169270833333","-0.824331411348738321986979166667","-0.562213228585961616861979166667","-0.279384510589245929330078125000","15360","1","1","1","1"
"K1G","0.325027362832093203592925614922","0.156185832957161389700527606450","0.349055110967121306063758638627","0.867234006501818456680538009958","26914","2","3","2","2"
"K1H","0.101764514158420907713539723984","-0.641037688116132777508392390899","0.740184549586588361879895561358","-0.227113008852477380604252144722","13405","2","2","2","1"
"K1J","0.008169526767302931371767623096","-0.539340655484367839045341834927","0.233462454103602811180481756996","0.230986295052474258835901523202","22584","2","2","2","2"
"K1K","0.891408659643355361548998121478","0.674715717899926086478631809643","0.062053563857517574643863494051","0.429760209310277043386036318096","25552","3","4","2","2"
"K1L","1.693599935167583647715336134454","0.743763197744766235720850840336","-0.032048158487994618185399159664","0.157673793249833951181722689076","15232","4","4","2","2"
"K1M","0.681350409862030901424227876460","-0.936181382071424210433669387102","-0.040086991276836725236037766043","-0.345591273641851185680908945431","6249","3","1","2","1"
"K1N","2.211304390907956973626680310712","0.071638762656345240615842597330","-0.532115789622646503186194706731","0.373117577337879004714637890134","21499","5","3","1","2"
"K1R","2.082371550707992591607087348461","0.052077410360444789940938762823","-0.432131925001892065962076468760","0.825068636166015817234690705626","16085","4","3","1","2"
"K1S","0.641499248092498891914947797301","-0.822057154538839172069433834140","-0.584610962642585459625668449198","-0.058463560546629585514811985400","23562","3","1","1","2"
"K1T","-0.262181782284454136870466321244","-0.239911918658907810184455958549","-0.728659250789950961703626943005","0.763818880006109177645595854922","24125","2","2","1","2"
"K1V","0.309014053722668006940180481905","0.015659280864151333403107265792","-0.317311037499013957928644525072","1.056276454614095410537026700158","42996","2","3","1","2"
"K1W","-1.126429442582269941216931216931","-1.062296408154463786507936507937","-0.689646816036271131216931216931","0.020108666275663270370370370370","3780","1","1","1","2"
"K1Y","0.953181441019698738190282222869","-0.225763738728697020936863543788","-0.560515830159389591096886819901","-0.075657932900633630503345941228","17185","3","2","1","2"
"K1Z","1.101665951272343809320474122064","0.699858270379349772517116984466","-0.370666019372137910181844953250","0.541357231681939192187292939704","13583","3","4","1","2"
"K2A","0.389805652011678572473592937096","-0.578375432497755715923064795838","0.671686965193155272473592937096","-0.049147429819587344001261232855","12686","3","2","2","2"
"K2B","1.060515749316424444335610259054","0.410384957044745515030931821111","0.256050910048642481763113803325","1.185695736525468243278773037763","31036","3","3","2","3"
"K2C","0.600042539271981672173785266458","0.066853834421308904570924764890","0.267946043861892670242946708464","0.530396419531239309869710031348","20416","3","3","2","2"
"K2E","0.327623802543076370393089634452","-0.242930057079551035922633950926","0.139635618345782451884076114171","0.599279512878293149624436654982","15976","2","2","2","2"
"K2G","-0.456213808406121697078221662997","-0.704390946817352970794274929223","-0.205830010239765542133270420468","0.359562919626065579173220090175","38148","2","2","1","2"
"K2H","-0.045394954439968142851112330618","-0.660835051507618168145552788214","0.234844590429279112959601502807","-0.000464863210182248292878551226","23689","2","2","2","2"
"K2J","-0.861991224695475255806182121972","-1.021734207824550174436090225564","-0.832507877268077434500696184907","0.390044151826068333868003341688","35910","1","1","1","2"
"K2K","-0.701138213547460686088914717420","-1.022600846347206826819700711899","-0.426519589065878762240302193811","0.466988643064017699476972250472","13766","1","1","1","2"
"K2L","-0.518898907215051330027307482250","-0.733950357879346686182413981431","-0.693131519715852599290005461496","-0.005787328018159278836701256144","18310","2","2","1","2"
"K2M","-0.985193941085780944446183544634","-1.167118587567790853915584076799","-0.580561345219479276725622163093","0.505308617014792532597693953149","19167","1","1","1","2"
"K2P","2.959042134114662605905942398833","-0.648333894627768980969741159315","-0.505397087869987217790740065622","0.119544349526351747845424717463","13715","5","2","1","2"
"K2R","-0.809135427103820000000000000000","-1.293802595989600000000000000000","-0.651318191371832000000000000000","-0.188889018607034000000000000000","554","1","1","1","1"
"K2S","-0.988322148824814272279869552327","-1.034457957762372867417729024607","-0.116053665986438238962348058109","-0.212679503226084828818855618144","16865","1","1","1","1"
"K2W","-1.382277783487760000000000000000","-0.465756143792000000000000000000","-0.736341290324531000000000000000","-0.174391303507174000000000000000","448","1","2","1","1"
"K4A","-0.877397230155616282336460500064","-0.930220786887728505386933820096","-1.119417929392183957609203209237","0.199989877931233789217642314386","23557","1","1","1","2"
"K4B","-0.713767079991209334320778671181","-0.960131542502321155734236140499","-0.683279935936596096064325010580","-0.509357370324190706728734659331","2363","1","1","1","1"
"K4C","-0.663557869241292027729636048527","-0.861647244204213812824956672444","-0.388001819303198999306759098787","-0.505121581336142101559792027730","2885","1","1","1","1"
